"","household_id","hhgroup","sample_segment","traveldate_start","traveldate_end","numdayscomplete","hh_is_complete","num_days_complete_weekday","num_complete_mon","num_complete_tue","num_complete_wed","num_complete_thu","num_complete_fri","num_days_complete_weekend","num_complete_sat","num_complete_sun","num_trips","hhsize","num_surveyable","num_participants","numadults","numchildren","numworkers","num_students","vehicle_count","hhincome_detailed","hhincome_followup","hhincome_broad","home_tract20","home_jurisdiction","home_rgcname","home_county","res_type","rent_own","res_months","res_dur","prev_rent_own","prev_res_type","prev_home_rgcname","prev_home_jurisdiction","prev_home_county","prev_home_tract20","prev_home_wa","prev_home_notwa_state","prev_home_notwa_city","prev_home_notwa_zip","prev_home_lng","prev_home_lat","prev_res_factors_housing_cost","prev_res_factors_income_change","prev_res_factors_community_change","prev_res_factors_hh_size","prev_res_factors_more_space","prev_res_factors_less_space","prev_res_factors_employment","prev_res_factors_amenities","prev_res_factors_telework","prev_res_factors_school","prev_res_factors_crime","prev_res_factors_quality","prev_res_factors_forced","prev_res_factors_other","prev_res_factors_no_answer","prev_res_factors_specify","broadband","survey_year","home_lat","home_lng","hh_race_category","hh_weight","hh_weight_2017_2019_combined"
"11",23007489,"Signup survey completed via rMove, Diary completed via rMove","Bellevue General",2023-04-10,2023-04-16,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","Prefer not to answer","Prefer not to answer","Prefer not to answer",53033023601,"Bellevue","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6175,-122.173,"White non-Hispanic",84.725232352127,NA
"12",23008358,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-24,2023-04-30,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$100,000-$149,999","Missing: Skip Logic","$100,000-$199,000",53033003601,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6728,-122.318,"AANHPI non-Hispanic",68.258864080038,NA
"13",23008706,"Signup survey completed via browserMove, Diary completed via browserMove","Pierce General",2023-04-27,2023-04-27,"1","Yes","1","not complete","not complete","not complete","complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","0 workers","0 students","0 (no vehicles)","Under $10,000","Missing: Skip Logic","Under $25,000",53053061900,"Tacoma","Not RGC","Pierce","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.2257,-122.439,"White non-Hispanic",3833.92979729088,NA
"14",23008847,"Signup survey completed via browserMove, Diary completed via browserMove","Snohomish General",2023-05-04,2023-05-04,"1","Yes","1","not complete","not complete","not complete","complete","not complete","0","not complete","not complete",NA,"2 people","1 surveyable person",1,"2 adults","0 children","2 workers","0 students","0 (no vehicles)","Under $10,000","Missing: Skip Logic","Under $25,000",53061041805,"Everett","Not RGC","Snohomish","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.9138,-122.217,"Missing/No response",NA,NA
"15",23008902,"Signup survey completed via browserMove, Diary completed via browserMove","King General",2023-05-09,2023-05-09,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","0 workers","0 students","1 vehicle","$75,000-$99,999","Missing: Skip Logic","$75,000-$99,999",53033021300,"Lake Forest Park","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.7444,-122.284,"Missing/No response",609.978359566792,NA
"16",23009332,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-15,2023-04-21,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$75,000-$99,999","Missing: Skip Logic","$75,000-$99,999",53033003602,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6817,-122.323,"AANHPI non-Hispanic",560.714561441928,NA
"17",23009668,"Signup survey completed via browserMove, Diary completed via browserMove","Snohomish General",2023-04-26,2023-04-26,"1","Yes","1","not complete","not complete","complete","not complete","not complete","0","not complete","not complete",NA,"3 people","3 surveyable persons",3,"3 adults","0 children","3 workers","2 students","2 vehicles","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53061051927,"Unincorporated Snohomish County","Not RGC","Snohomish","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.8461,-122.235,"AANHPI non-Hispanic",123.371201792581,NA
"18",23009735,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-18,2023-04-18,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"2 people","1 surveyable person",1,"2 adults","0 children","2 workers","1 student","0 (no vehicles)","$35,000-$49,999","Missing: Skip Logic","$25,000-$49,999",53033006100,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6459,-122.324,"Missing/No response",NA,NA
"19",23010240,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-16,2023-04-22,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","1 student","0 (no vehicles)","$35,000-$49,999","Missing: Skip Logic","$25,000-$49,999",53033001702,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.7039,-122.356,"White non-Hispanic",85.0251627823717,NA
"20",23010737,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-05,2023-04-11,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"2 people","1 surveyable person",1,"2 adults","0 children","1 worker","0 students","0 (no vehicles)","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53033005901,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6509,-122.371,"Missing/No response",NA,NA
"21",23010890,"Signup survey completed via rMove, Diary completed via browserMove","Snohomish General",2023-05-09,2023-05-09,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"5 people","5 surveyable persons",5,"5 adults","0 children","1 worker","0 students","2 vehicles","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53061052807,"Marysville","Not RGC","Snohomish","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,48.1058,-122.173,"White non-Hispanic",4794.34767492708,NA
"22",23014036,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-27,2023-04-27,"1","Yes","1","not complete","not complete","not complete","complete","not complete","0","not complete","not complete",NA,"2 people","2 surveyable persons",2,"2 adults","0 children","0 workers","0 students","1 vehicle","Prefer not to answer","Prefer not to answer","Prefer not to answer",53033011401,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.5289,-122.356,"Missing/No response",38.8495047843229,NA
"23",23014525,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-16,2023-04-22,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","0 workers","0 students","0 (no vehicles)","$10,000-$24,999","Missing: Skip Logic","Under $25,000",53033000101,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.7294,-122.292,"White non-Hispanic",90.0611715504732,NA
"24",23015304,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-05-04,2023-05-04,"1","Yes","1","not complete","not complete","not complete","complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53033005804,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6462,-122.375,"White non-Hispanic",37.6426596538066,NA
"25",23015832,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-18,2023-04-18,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"2 people","1 surveyable person",1,"2 adults","0 children","1 worker","0 students","0 (no vehicles)","Prefer not to answer","Under $25,000","Under $25,000",53033004102,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6735,-122.26,"Missing/No response",NA,NA
"26",23016261,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-05-10,2023-05-10,"1","Yes","1","not complete","not complete","complete","not complete","not complete","0","not complete","not complete",NA,"2 people","1 surveyable person",1,"2 adults","0 children","2 workers","0 students","0 (no vehicles)","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53033003302,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.675,-122.375,"Missing/No response",NA,NA
"27",23018273,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-05-07,2023-05-13,"2","Yes","1","not complete","not complete","not complete","complete","not complete","1","not complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","1 vehicle","$35,000-$49,999","Missing: Skip Logic","$25,000-$49,999",53033010601,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.5446,-122.38,"White non-Hispanic",2108.76393734602,NA
