table,variable,value,label
person,ev_typical_charge_997,1,Selected
person,ev_typical_charge_997,995,Missing Response
trip_unlinked,flag_teleport,0,No teleport detected
trip_unlinked,flag_teleport,1,Teleport detected
vehicle,fuel,1,Gas
vehicle,fuel,2,Diesel
vehicle,fuel,5,Electric (EV)
vehicle,fuel,8,"Other (e.g., natural gas, bio-diesel, Flex fuel (FFV))"
vehicle,fuel,9,Hybrid (HEV)
vehicle,fuel,10,Plug-in hybrid (PHEV)
person,gender,1,Boy/Man (cisgender or transgender)
person,gender,2,Girl/Woman (cisgender or transgender)
person,gender,4,Non-binary/Something else fits better
person,gender,995,Missing Response
person,gender,999,Prefer not to answer
trip_unlinked,has_access,0,No
trip_unlinked,has_access,1,Yes
trip_unlinked,has_access,995,Missing Response
trip_unlinked,has_egress,0,No
trip_unlinked,has_egress,1,Yes
trip_unlinked,has_egress,995,Missing Response
trip_unlinked,has_synthetic_access,0,No
trip_unlinked,has_synthetic_access,1,Yes
trip_unlinked,has_synthetic_access,995,Missing Response
trip_unlinked,has_synthetic_egress,0,No
trip_unlinked,has_synthetic_egress,1,Yes
trip_unlinked,has_synthetic_egress,995,Missing Response
day,hh_day_iscomplete,0,No
day,hh_day_iscomplete,1,Yes
hh,hh_is_complete,0,No
hh,hh_is_complete,1,Yes
hh,hhgroup,3,"Signup survey completed via browserMove, Diary completed via browserMove"
hh,hhgroup,4,"Signup survey completed via browserMove, Diary completed via call center"
hh,hhgroup,5,"Signup survey completed via browserMove, Diary completed via rMove"
hh,hhgroup,6,"Signup survey completed via call center, Diary completed via browserMove"
hh,hhgroup,7,"Signup survey completed via call center, Diary completed via call center"
hh,hhgroup,8,"Signup survey completed via call center, Diary completed via rMove"
hh,hhgroup,9,"Signup survey completed via rMove, Diary completed via browserMove"
hh,hhgroup,10,"Signup survey completed via rMove, Diary completed via call center"
hh,hhgroup,11,"Signup survey completed via rMove, Diary completed via rMove"
hh,hhincome_broad,1,"Under $25,000"
hh,hhincome_broad,2,"$25,000-$49,999"
hh,hhincome_broad,3,"$50,000-$74,999"
hh,hhincome_broad,4,"$75,000-$99,999"
hh,hhincome_broad,5,"$100,000 or more"
hh,hhincome_broad,6,Prefer not to answer
hh,hhincome_broad,7,"$100,000-$199,000"
hh,hhincome_broad,8,"$200,000 or more"
hh,hhincome_broad,995,Missing: Skip Logic
hh,hhincome_detailed,1,"Under $10,000"
hh,hhincome_detailed,2,"$10,000-$24,999"
hh,hhincome_detailed,3,"$25,000-$34,999"
hh,hhincome_detailed,4,"$35,000-$49,999"
hh,hhincome_detailed,5,"$50,000-$74,999"
hh,hhincome_detailed,6,"$75,000-$99,999"
hh,hhincome_detailed,7,"$100,000-$149,999"
hh,hhincome_detailed,8,"$150,000-$199,999"
hh,hhincome_detailed,9,"$200,000-$249,999"
hh,hhincome_detailed,10,"$250,000 or more"
hh,hhincome_detailed,11,Prefer not to answer
hh,hhincome_followup,1,"Under $25,000"
hh,hhincome_followup,2,"$25,000-$49,999"
hh,hhincome_followup,3,"$50,000-$74,999"
hh,hhincome_followup,4,"$75,000-$99,999"
hh,hhincome_followup,5,"$100,000 or more"
hh,hhincome_followup,6,Prefer not to answer
hh,hhincome_followup,7,"$100,000-$199,000"
hh,hhincome_followup,8,"$200,000 or more"
hh,hhincome_followup,995,Missing: Skip Logic
trip_unlinked,hhmember1,0,Not Selected
trip_unlinked,hhmember1,1,Selected
trip_unlinked,hhmember1,995,Missing: Skip Logic
trip_unlinked,hhmember10,0,Not Selected
trip_unlinked,hhmember10,1,Selected
trip_unlinked,hhmember10,995,Missing: Skip Logic
trip_unlinked,hhmember11,0,Not Selected
trip_unlinked,hhmember11,1,Selected
trip_unlinked,hhmember11,995,Missing: Skip Logic
trip_unlinked,hhmember12,0,Not Selected
trip_unlinked,hhmember12,1,Selected
trip_unlinked,hhmember12,995,Missing: Skip Logic
trip_unlinked,hhmember2,0,Not Selected
trip_unlinked,hhmember2,1,Selected
trip_unlinked,hhmember2,995,Missing: Skip Logic
trip_unlinked,hhmember3,0,Not Selected
trip_unlinked,hhmember3,1,Selected
trip_unlinked,hhmember3,995,Missing: Skip Logic
trip_unlinked,hhmember4,0,Not Selected
trip_unlinked,hhmember4,1,Selected
trip_unlinked,hhmember4,995,Missing: Skip Logic
trip_unlinked,hhmember5,0,Not Selected
trip_unlinked,hhmember5,1,Selected
trip_unlinked,hhmember5,995,Missing: Skip Logic
trip_unlinked,hhmember6,0,Not Selected
trip_unlinked,hhmember6,1,Selected
trip_unlinked,hhmember6,995,Missing: Skip Logic
trip_unlinked,hhmember7,0,Not Selected
trip_unlinked,hhmember7,1,Selected
trip_unlinked,hhmember7,995,Missing: Skip Logic
trip_unlinked,hhmember8,0,Not Selected
trip_unlinked,hhmember8,1,Selected
trip_unlinked,hhmember8,995,Missing: Skip Logic
trip_unlinked,hhmember9,0,Not Selected
trip_unlinked,hhmember9,1,Selected
trip_unlinked,hhmember9,995,Missing: Skip Logic
hh,hhsize,1,1 person
hh,hhsize,2,2 people
hh,hhsize,3,3 people
hh,hhsize,4,4 people
hh,hhsize,5,5 people
hh,hhsize,6,6 people
hh,hhsize,7,7 people
hh,hhsize,8,8 people
hh,hhsize,9,9 people
hh,hhsize,10,10 people
hh,hhsize,11,11 people
hh,hhsize,12,12 people
hh,hhsize,13,13 or more people
person,hours_work,1,More than 50 hours
person,hours_work,2,41–50 hours
person,hours_work,3,31-40 hours
person,hours_work,4,21–30 hours
person,hours_work,5,11–20 hours
person,hours_work,6,10 hours or fewer
person,hours_work,7,35-40 hours
person,hours_work,8,31-34 hours
person,hours_work,995,Missing: Skip Logic
person,industry,1,Financial services
person,industry,2,Real estate
person,industry,3,"Professional and business services (e.g., consulting, legal, marketing)"
person,industry,4,"Personal services (e.g., hair styling, personal assistance, pet sitting)"
person,industry,5,"Hospitality (e.g., restaurant, accommodation)"
person,industry,6,"Natural resources (e.g., forestry, fishery, energy)"
person,industry,7,Public education
person,industry,8,Private education
person,industry,9,"Childcare (e.g., nanny, babysitter)"
person,industry,10,Health care
person,industry,11,Sports and fitness
person,industry,12,Social assistance
person,industry,13,Arts and entertainment
person,industry,14,Retail
person,industry,15,"Manufacturing (e.g., aerospace & defense, electrical, machinery)"
person,industry,16,Transportation and utilities
person,industry,17,Construction
person,industry,18,Landscaping
person,industry,19,Government
person,industry,20,Military
person,industry,21,Technology and telecommunications
person,industry,22,Media
person,industry,23,Other
person,industry,995,Missing: Skip Logic
trip_unlinked,is_access,0,No
trip_unlinked,is_access,1,Yes
trip_unlinked,is_access,995,Missing Response
trip_unlinked,is_egress,0,No
trip_unlinked,is_egress,1,Yes
trip_unlinked,is_egress,995,Missing Response
person,is_participant,0,No
person,is_participant,1,Yes
trip_unlinked,is_transit,0,No
trip_unlinked,is_transit,1,Yes
trip_unlinked,is_transit,995,Missing Response
day,loc_end,1,Home
day,loc_end,2,Work
day,loc_end,3,Other
day,loc_end,4,Someone else's home
day,loc_end,5,"Other home (e.g., other parent, second home)"
day,loc_end,6,"Traveling (e.g., red-eye flight)"
day,loc_end,7,"Temporary lodging (e.g., hotel, vacation rental)"
day,loc_end,995,Missing Response
day,loc_start,1,Home
day,loc_start,2,Work
day,loc_start,3,Other
day,loc_start,4,"Other home (e.g., other parent, second home)"
day,loc_start,5,"Traveling (e.g., red-eye flight)"
day,loc_start,6,Someone else's home
day,loc_start,7,"Temporary lodging (e.g., hotel, vacation rental)"
day,loc_start,995,Missing Response
person,mobility_aides,0,No
person,mobility_aides,1,Yes
person,mobility_aides,995,Missing Response
person,mobility_aides,999,Prefer not to answer
trip_unlinked,mode_1,1,Walk (or jog/wheelchair)
trip_unlinked,mode_1,23,Bus (public transit)
trip_unlinked,mode_1,24,School bus
trip_unlinked,mode_1,31,Airplane or helicopter
trip_unlinked,mode_1,995,Missing Response
trip_unlinked,mode_1,100,Household vehicle (or motorcycle)
trip_unlinked,mode_1,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip_unlinked,mode_1,102,"Other bus, shuttle, or vanpool (private service or shuttles for older adults and people with disabilities)"
trip_unlinked,mode_1,103,Bicycle or e-bicycle
trip_unlinked,mode_1,104,Other
trip_unlinked,mode_1,105,"Rail (e.g., train, subway)"
trip_unlinked,mode_1,106,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_1,107,"Scooter, moped, skateboard"
trip_unlinked,mode_1,108,Ferry or water taxi
trip_unlinked,mode_2,1,Walk (or jog/wheelchair)
trip_unlinked,mode_2,23,Bus (public transit)
trip_unlinked,mode_2,24,School bus
trip_unlinked,mode_2,31,Airplane or helicopter
trip_unlinked,mode_2,995,Missing Response
trip_unlinked,mode_2,100,Household vehicle (or motorcycle)
trip_unlinked,mode_2,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip_unlinked,mode_2,102,"Other bus, shuttle, or vanpool (private service or shuttles for older adults and people with disabilities)"
trip_unlinked,mode_2,103,Bicycle or e-bicycle
trip_unlinked,mode_2,104,Other
trip_unlinked,mode_2,105,"Rail (e.g., train, subway)"
trip_unlinked,mode_2,106,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_2,107,"Scooter, moped, skateboard"
trip_unlinked,mode_2,108,Ferry or water taxi
trip_unlinked,mode_3,1,Walk (or jog/wheelchair)
trip_unlinked,mode_3,23,Bus (public transit)
trip_unlinked,mode_3,24,School bus
trip_unlinked,mode_3,31,Airplane or helicopter
trip_unlinked,mode_3,995,Missing Response
trip_unlinked,mode_3,100,Household vehicle (or motorcycle)
trip_unlinked,mode_3,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip_unlinked,mode_3,102,"Other bus, shuttle, or vanpool (private service or shuttles for older adults and people with disabilities)"
trip_unlinked,mode_3,103,Bicycle or e-bicycle
trip_unlinked,mode_3,104,Other
trip_unlinked,mode_3,105,"Rail (e.g., train, subway)"
trip_unlinked,mode_3,106,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_3,107,"Scooter, moped, skateboard"
trip_unlinked,mode_3,108,Ferry or water taxi
trip_unlinked,mode_4,1,Walk (or jog/wheelchair)
trip_unlinked,mode_4,23,Bus (public transit)
trip_unlinked,mode_4,24,School bus
trip_unlinked,mode_4,31,Airplane or helicopter
trip_unlinked,mode_4,995,Missing Response
trip_unlinked,mode_4,100,Household vehicle (or motorcycle)
trip_unlinked,mode_4,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip_unlinked,mode_4,102,"Other bus, shuttle, or vanpool (private service or shuttles for older adults and people with disabilities)"
trip_unlinked,mode_4,103,Bicycle or e-bicycle
trip_unlinked,mode_4,104,Other
trip_unlinked,mode_4,105,"Rail (e.g., train, subway)"
trip_unlinked,mode_4,106,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_4,107,"Scooter, moped, skateboard"
trip_unlinked,mode_4,108,Ferry or water taxi
trip_unlinked,mode_acc,1,Walked or jogged
trip_unlinked,mode_acc,2,Bicycle or e-bicycle
trip_unlinked,mode_acc,8,"Transferred from another bus, shuttle, or vanpool"
trip_unlinked,mode_acc,9,"Scooter, moped, skateboard"
trip_unlinked,mode_acc,10,Transferred from other rail
trip_unlinked,mode_acc,11,"Transferred from other transit (e.g., ferry, air)"
trip_unlinked,mode_acc,12,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_acc,13,Drove and parked my own household's vehicle (or motorcycle)
trip_unlinked,mode_acc,14,Drove and parked another vehicle (or motorcycle)
trip_unlinked,mode_acc,15,Got dropped off in my own household's vehicle (or motorcycle)
trip_unlinked,mode_acc,16,Got dropped off in another vehicle (or motorcycle)
trip_unlinked,mode_acc,97,Other
trip_unlinked,mode_acc,995,Missing: Skip Logic
trip_unlinked,mode_egr,1,Walked or jogged
trip_unlinked,mode_egr,2,Bicycle or e-bicycle
trip_unlinked,mode_egr,8,"Transferred to another bus, shuttle, or vanpool"
trip_unlinked,mode_egr,9,"Scooter, moped, skateboard"
trip_unlinked,mode_egr,10,Transferred to other rail
trip_unlinked,mode_egr,11,"Transferred to other transit (e.g., ferry, air)"
trip_unlinked,mode_egr,12,"Uber/Lyft, taxi, or car service"
trip_unlinked,mode_egr,13,Drove my own household's vehicle (or motorcycle)
trip_unlinked,mode_egr,14,Drove another vehicle (or motorcycle)
trip_unlinked,mode_egr,15,Got picked up in my own household's vehicle (or motorcycle)
trip_unlinked,mode_egr,16,Got picked up in another vehicle (or motorcycle)
trip_unlinked,mode_egr,97,Other
trip_unlinked,mode_egr,995,Missing: Skip Logic
trip_unlinked,mode_type,1,Walk
trip_unlinked,mode_type,2,Bike
trip_unlinked,mode_type,3,Car
trip_unlinked,mode_type,4,Taxi
trip_unlinked,mode_type,5,Transit
trip_unlinked,mode_type,6,School bus
trip_unlinked,mode_type,7,Other
trip_unlinked,mode_type,8,Shuttle/Vanpool
trip_unlinked,mode_type,9,"TNC (Uber, Lyft, or other smartphone-app car service)"
trip_unlinked,mode_type,10,"Carshare (e.g., ZipCar, Car2Go)"
trip_unlinked,mode_type,11,Bikeshare
trip_unlinked,mode_type,12,"Scooter or e-scooter (e.g., Lime, Bird, Razor)"
trip_unlinked,mode_type,13,"Long distance (e.g., airplane)"
trip_unlinked,mode_type,14,Ferry
trip_unlinked,mode_type,995,Missing Response
hh,num_students,0,0 students
hh,num_students,1,1 student
hh,num_students,2,2 students
hh,num_students,3,3 students
hh,num_students,4,4 students
hh,num_students,5,5 students
hh,num_students,6,6 students
hh,num_students,7,7 students
hh,num_students,8,8 students
hh,num_students,9,9 students
hh,num_students,10,10 students
hh,num_students,11,11 students
hh,num_students,12,12 students
hh,num_students,13,13 or more students
hh,num_surveyable,1,1 surveyable person
hh,num_surveyable,2,2 surveyable persons
hh,num_surveyable,3,3 surveyable persons
hh,num_surveyable,4,4 surveyable persons
hh,num_surveyable,5,5 surveyable persons
hh,num_surveyable,6,6 surveyable persons
hh,num_surveyable,7,7 surveyable persons
hh,num_surveyable,8,8 surveyable persons
hh,num_surveyable,9,9 surveyable persons
hh,num_surveyable,10,10 surveyable persons
hh,num_surveyable,11,11 surveyable persons
hh,num_surveyable,12,12 surveyable persons
hh,num_surveyable,13,13 or more surveyable persons
hh,numadults,1,1 adult
hh,numadults,2,2 adults
hh,numadults,3,3 adults
hh,numadults,4,4 adults
hh,numadults,5,5 adults
hh,numadults,6,6 adults
hh,numadults,7,7 adults
hh,numadults,8,8 adults
hh,numadults,9,9 adults
hh,numadults,10,10 adults
hh,numadults,11,11 adults
hh,numadults,12,12 adults
hh,numadults,13,13 or more adults
hh,numchildren,0,0 children
hh,numchildren,1,1 child
hh,numchildren,2,2 children
hh,numchildren,3,3 children
hh,numchildren,4,4 children
hh,numchildren,5,5 children
hh,numchildren,6,6 children
hh,numchildren,7,7 children
hh,numchildren,8,8 children
hh,numchildren,9,9 children
hh,numchildren,10,10 children
hh,numchildren,11,11 children
hh,numchildren,12,12 or more children
hh,numworkers,0,0 workers
hh,numworkers,1,1 worker
hh,numworkers,2,2 workers
hh,numworkers,3,3 workers
hh,numworkers,4,4 workers
hh,numworkers,5,5 workers
hh,numworkers,6,6 workers
hh,numworkers,7,7 workers
hh,numworkers,8,8  workers
hh,numworkers,9,9 workers
hh,numworkers,10,10 workers
hh,numworkers,11,11 workers
hh,numworkers,12,12 workers
hh,numworkers,13,13 or more workers
person,office_available,1,"Yes, I have a dedicated and private space available outside the home that I do not use."
person,office_available,2,"No, I do not have a dedicated and private space available outside the home"
person,office_available,995,Missing Response
trip_unlinked,origin_purpose,-1,Not imputable
trip_unlinked,origin_purpose,1,Went home
trip_unlinked,origin_purpose,10,Went to primary workplace
trip_unlinked,origin_purpose,11,"Went to work-related place (e.g., meeting, second job, delivery)"
trip_unlinked,origin_purpose,13,Volunteering
trip_unlinked,origin_purpose,14,Went to other work-related activity
trip_unlinked,origin_purpose,21,Attend K-12 school
trip_unlinked,origin_purpose,22,Attend college/university
trip_unlinked,origin_purpose,23,"Attend other type of class (e.g., cooking class)"
trip_unlinked,origin_purpose,24,"Attend other education-related activity (e.g., field trip)"
trip_unlinked,origin_purpose,26,Attend daycare or preschool
trip_unlinked,origin_purpose,30,Went grocery shopping
trip_unlinked,origin_purpose,31,Got gas
trip_unlinked,origin_purpose,32,"Went to other shopping (e.g., mall, pet store)"
trip_unlinked,origin_purpose,33,"Conducted personal business (e.g., bank, post office)"
trip_unlinked,origin_purpose,34,"Went to medical appointment (e.g., doctor, dentist)"
trip_unlinked,origin_purpose,44,"Other activity at workplace only (e.g., attend meeting, pick-up or drop-off item)"
trip_unlinked,origin_purpose,45,Pick someone up
trip_unlinked,origin_purpose,46,Drop someone off
trip_unlinked,origin_purpose,47,"Accompany someone only (e.g., go along for the ride)"
trip_unlinked,origin_purpose,48,BOTH pick up AND drop off
trip_unlinked,origin_purpose,50,Went to restaurant to eat/get take-out
trip_unlinked,origin_purpose,51,"Went to exercise (e.g., gym, walk, jog, bike ride)"
trip_unlinked,origin_purpose,52,"Attended social event (e.g., visit with friends, family, co-workers)"
trip_unlinked,origin_purpose,53,"Attended recreational event (e.g., movies, sporting event)"
trip_unlinked,origin_purpose,54,Went to religious/community/volunteer activity
trip_unlinked,origin_purpose,60,"Transferred to another mode of transportation (e.g., change from ferry to bus)"
trip_unlinked,origin_purpose,61,Other appointment/errands
trip_unlinked,origin_purpose,62,Other social/leisure
trip_unlinked,origin_purpose,97,Other reason
trip_unlinked,origin_purpose,150,"Went to another residence (e.g., someone else's home, second home)"
trip_unlinked,origin_purpose,152,"Went to temporary lodging (e.g., hotel, vacation rental)"
