rectype,qno,final,samptyp,lifecyc,hhsize,hhnumwkr,hhnumveh,veh_av,veh_wkr,ldrvnum,hinccat1,hinccat2,hinccat3,hmcnty,hmcity,hmzip,hmtaz,hmtract,region,areacty2,hh_uga,chmarea,chmarea2,chmtenur,chmtype,chmage,chmyear,prevcnty,prevcity,prevzip,prevtaz,phmarea,phmarea2,phmtenur,phmtype,phmage,phmyear,pmove3,hhvtype1,hhvehyr1,hhvtype2,hhvehyr2,hhvtype3,hhvehyr3,hhvtype4,hhvehyr4,hhvtype5,hhvehyr5,hhvtype6,hhvehyr6,hhvtype7,hhvehyr7,hhvtype8,hhvehyr8,hhvtype9,hhvehyr9,hhvtyp10,hhvehy10,diary,gps,tyear,month1,month2,daymo1,daymo2,travdate,expfac2
1,2238,1,1,8,2,1,3,1,4,2,18,9,3,1,SEATTLE,98116,173,9702,1,1,1,1,1,1,1,7,7, , , , , , , , , , , ,1,2004,9,2003,9,9999, , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,123.57
1,2254,1,1,4,1,1,1,1,4,1,10,10,3,1,AUBURN,98001,432,30404,3,2,1,2,1,1,1,7,6, , , , , , , , , , , ,1,2003, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,231.76
1,2262,1,1,2,3,3,2,1,2,2,3,3,1,2,POULSBO,98370,901,90500,4,0,1,3,4,1,1,1,1,2,POULSBO,98370,901,3,4,1,1,3,4,9,2,2000,1,2006, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,327.43
1,2318,1,1,8,2,1,2,1,4,2,99,11,4,1,SEATTLE,98107,66,4800,1,1,1,1,1,1,1,7,7, , , , , , , , , , , ,2,2000,2,1998, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,120.02
1,2324,1,1,2,3,1,4,1,4,2,4,4,2,1,PACIFIC,98047,445,30902,3,2,1,2,2,1,1,7,4,3,PUYALLUP,98374,861,3,4,1,1,7,7,8,2,1996,1,1984,3,1987,2,9998, , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,596.12
1,2325,1,1,3,1,1,4,1,4,1,11,11,4,1,KIRKLAND,98033,262,22604,2,2,1,2,1,1,1,7,4,1,KIRKLAND,98033,265,2,1,2,2,7,3,1,1,1996,1,2001,9,1995,9,2003, , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,409.37
1,2327,1,1,7,2,0,2,1,3,2,18,8,3,1,BOTHELL,98011,254,22202,2,2,1,2,1,1,1,7,7, , , , , , , , , , , ,3,2000,1,1997, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,282.65
1,2329,1,1,8,2,0,1,1,3,1,4,4,2,3,TACOMA,98418,720,62400,5,0,1,2,1,1,1,7,7, , , , , , , , , , , ,4,2002, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,397.13
1,2330,1,1,7,2,1,2,1,4,2,7,7,3,4,ARLINGTON,98223,661,53400,6,0,2,3,4,1,1,6,6, , , , , , , , , , , ,1,2003,4,1998, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,210.61
1,2343,1,1,5,1,0,1,1,3,1,17,4,2,4,GRANITE FALLS,98252,667,53602,6,0,2,3,4,1,1,7,7, , , , , , , , , , , ,1,1996, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,262.72
1,2354,1,1,4,1,0,2,1,3,1,2,2,1,4,EVERETT,98208,551,41601,6,0,1,1,1,1,1,7,6, , , , , , , , , , , ,3,1995,1,1982, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,329.44
1,2367,1,1,8,2,0,3,1,3,2,7,7,3,3,TACOMA,98498,822,72112,5,0,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1989,3,2000,4,1990, , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,300.73
1,2426,1,1,7,2,2,3,1,3,2,7,7,3,1,TUKWILA,98168,356,27300,3,2,1,1,3,1,1,7,1,1,SEATTLE,98168,353,2,1,1,1,7,5,1,4,1998,1,2001,1,2002, , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,234.77
1,2456,1,1,2,4,3,4,1,3,4,8,8,3,4,BRIER,98036,598,51913,6,0,1,2,1,1,1,7,6, , , , , , , , , , , ,3,2002,1,1995,1,1994,1,1985, , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,302.95
1,2457,1,1,7,2,1,2,1,4,2,99,10,3,1,SEATTLE,98112,90,6300,1,1,1,1,1,1,1,2,3, , , , ,1,1,1,1,4,5,99,3,2004,1,2004, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,211
1,2482,1,1,7,2,0,2,1,3,2,9,9,3,2,BREMERTON,98312,887,80700,4,0,1,1,1,1,1,7,6, , , , , , , , , , , ,1,1993,4,2000, , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,80.23
1,2495,1,1,8,2,2,2,1,3,2,8,8,3,1,SEATTLE,98109,86,6000,1,1,1,1,1,1,1,7,7, , , , , , , , , , , ,1,1995,1,2001, , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,96.47
1,2502,1,1,7,2,2,2,1,3,2,10,10,3,1,SEATTLE,98126,189,10500,1,1,1,1,3,2,1,7,2,1,SEATTLE,98116,172,1,3,2,4,7,5,11,1,1995,1,1989, , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,118.64
1,2503,1,1,8,2,0,2,1,3,2,4,4,2,3,TACOMA,98465,699,61100,5,0,1,1,1,1,1,7,7, , , , , , , , , , , ,2,2004,1,1998, , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,210.85
1,2507,1,1,8,2,1,3,1,4,2,6,6,2,2,POULSBO,98370,897,90200,4,0,2,3,4,1,1,7,7, , , , , , , , , , , ,3,2001,2,1987,2,1984, , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,108.29
1,2509,1,1,4,1,0,1,1,3,1,6,6,2,3,TACOMA,98404,737,63300,5,0,1,1,3,1,1,7,6, , , , , , , , , , , ,3,1998, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,260.78
1,2512,1,1,7,2,1,2,1,4,2,12,11,4,1,SEATTLE,98122,115,7800,1,1,1,1,3,1,1,7,6, , , , , , , , , , , ,3,2005,1,1988, , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,121.67
1,2535,1,1,8,2,0,1,0,3,2,3,3,1,1,SEATTLE,98115,32,2500,1,1,1,1,3,1,1,7,7, , , , , , , , , , , ,1,2000, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,173.45
1,2539,1,1,7,2,2,3,1,3,2,8,8,3,4,GRANITE FALLS,98252,667,53602,6,0,2,3,4,1,1,2,3,4,EVERETT,98208,552,2,1,2,2,7,3,16,4,2004,1,2004,9,2005, , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,228.35
1,2542,1,1,5,1,0,1,1,3,1,99,11,4,1,SEATTLE,98105,61,4500,1,1,1,2,1,1,1,7,7, , , , , , , , , , , ,1,2000, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,82.76
1,2543,1,1,1,4,2,3,1,3,3,8,8,3,1,REDMOND,98052,514,32322,2,2,1,2,1,1,1,6,6, , , , , , , , , , , ,1,1997,2,1991,1,1987, , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,295.78
1,2551,1,1,7,2,2,2,1,3,2,7,7,3,3,EDGEWOOD,98372,764,70701,5,0,1,3,4,1,1,7,6, , , , , , , , , , , ,1,2002,3,2001, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,330.42
1,2563,1,1,8,2,0,3,1,3,2,4,4,2,1,SHORELINE,98133,221,20300,1,2,1,1,1,1,1,7,5,1,KENMORE,98028,251,1,1,1,1,7,4,13,1,1988,4,1994,9,1989, , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,317.74
1,2575,1,1,4,1,0,1,1,3,1,1,1,1,3,TACOMA,98445,798,71602,5,0,1,3,4,2,5,6,5,3,TACOMA,98445,798,3,4,2,1,7,6,2,1,1992, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,781.99
1,2591,1,1,8,2,1,2,1,4,2,5,5,2,3,TACOMA,98406,693,60905,5,0,1,2,1,1,1,7,2,3,UNIVERSITY PL,98466,825,2,1,1,1,7,5,21,1,2005,2,2004, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,185.45
1,2605,1,1,7,2,2,2,1,3,2,9,9,3,4,MARYSVILLE,98270,645,52703,6,0,1,2,1,1,1,2,2,4,SNOHOMISH,98290,632,2,1,2,1,7,5,50,1,1998,3,2005, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,281.17
1,2622,1,1,8,2,1,2,1,4,2,19,11,4,3,TACOMA,98407,683,60400,5,0,1,1,1,1,1,7,7, , , , , , , , , , , ,1,2001,2,1994, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,268.2
1,2658,1,1,7,2,2,2,1,3,2,7,7,3,4,STANWOOD,98292,659,53301,6,0,1,3,4,1,1,7,5, , , , ,3,4,1,1,7,5,3,1,2005,4,2003, , , , , , , , , , , , , , , , ,1, ,2006,4,4,6,7,4,286.44
1,2673,1,1,4,1,1,1,1,4,1,5,5,2,1,SEATTLE,98177,5,401,1,1,1,1,1,1,1,7,6, , , , , , , , , , , ,1,1997, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,109.09
1,2702,1,1,7,2,2,2,1,3,2,6,6,2,1,ALGONA,98001,444,30901,3,2,1,2,1,1,1,3,4,1,ALGONA,98001,444,2,1,1,1,4,4,1,1,1987,1,1977, , , , , , , , , , , , , , , , , , ,2006,4,4,5,6,3,275.86
1,2707,1,1,5,1,0,1,1,3,1,3,3,1,1,SEATTLE,98116,171,9600,1,1,1,1,98,1,5,7,7, , , , , , , , , , , ,1,1984, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,141.12
1,2709,1,1,6,2,1,2,1,4,2,7,7,3,3,TACOMA,98408,735,63100,5,0,1,1,1,1,1,7,1,3,UNIVERSITY PL,98467,827,1,1,2,2,7,3,1,1,1993,1,1995, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,515.48
1,2736,1,1,5,1,0,1,1,3,1,99,1,1,1,BELLEVUE,98007,280,23401,2,2,1,2,1,1,1,7,6, , , , , , , , , , , ,1,2003, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,389.75
1,2746,0,1,4,1,1,1,1,4,1,17,2,1,2,BREMERTON,98312,890,81000,4,0, ,1,3,1,5,7,6, , , , , , , , , , , ,1,1994, , , , , , , , , , , , , , , , , , ,0, ,2006,4,4,5,6,3,151.68
1,2753,1,1,1,4,1,2,1,4,2,6,6,2,1,SEATTLE,98126,176,9900,1,1,1,1,1,2,2,7,6, , , , , , , , , , , ,1,2000,1,2005, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,137.3
1,2759,1,1,7,2,2,2,1,3,2,6,6,2,1,KENT,98032,383,29004,3,2,1,2,1,1,1,7,6, , , , , , , , , , , ,1,1990,3,2000, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,241.58
1,2760,1,1,5,1,0,1,1,3,1,17,1,1,4,EDMONDS,98020,578,50500,6,0,1,1,2,1,5,7,5,4,EDMONDS,98020,578,1,1,2,1,6,6,5,1,1998, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,326.88
1,2773,1,1,5,1,0,1,1,3,0,5,5,2,4,EDMONDS,98026,582,50900,6,0,1,1,1,1,1,7,7, , , , , , , , , , , ,1,1988, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,121.73
1,2778,1,1,4,1,0,1,1,3,1,7,7,3,2,POULSBO,98370,903,90500,4,0,1,2,1,1,1,6,1, , , , ,2,1,1,1,7,5,6,1,2003, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,95.65
1,2794,1,1,5,1,1,1,1,4,1,4,4,2,2,SILVERDALE,98383,912,91203,4,0,1,1,2,1,4,2,2, , , , ,1,1,1,1,5,5,8,1,2004, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,118.48
1,2806,1,1,2,5,4,5,1,3,5,15,11,4,4,EVERETT,98203,551,41601,6,0,1,1,1,1,1,7,7, , , , , , , , , , , ,4,1998,4,2002,3,2001,3,2005,1,1991, , , , , , , , , , ,0, ,2006,4,4,5,6,3,580.28
1,2828,1,1,8,2,0,2,1,3,2,19,11,4,2,POULSBO,98370,897,90200,4,0,1,1,1,1,1,5,5, , , , ,3,4,1,1,7,7,20,1,2005,3,2003, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,52.14
1,2829,1,1,8,2,0,2,1,3,2,5,5,2,2,BAINBRIDGE ISL,98110,909,91000,4,0,1,2,1,1,1,6,6, , , , , , , , , , , ,1,1994,3,2004, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,68.41
1,2839,1,1,8,2,0,0,0,1,1,5,5,2,2,POULSBO,98370,897,90200,4,0,1,1,1,1,1,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,90.66
1,2844,1,1,5,1,0,1,1,3,1,4,4,2,1,LAKE FOREST PARK,98155,235,21400,1,2,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1995, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,280.59
1,2859,1,1,2,5,1,3,1,4,3,99,99, ,3,FORT LEWIS,98433,850,72904,5,0,1,2,1,2,1,7,3, , , , ,2,1,2,2,7,2,22,3,2005,1,2003,3,1995, , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,413.06
1,2873,1,1,4,1,0,1,1,3,1,2,2,1,1,SEATTLE,98118,200,11102,1,1,1,1,1,2,1,7,6, , , , , , , , , , , ,1,1993, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,202.8
1,2891,1,1,7,3,2,2,1,3,2,16,11,4,1,BELLEVUE,98005,284,23601,2,2,1,1,1,1,1,7,6, , , , , , , , , , , ,1,1998,2,2001, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,291.91
1,2896,1,1,4,1,1,1,1,4,1,18,7,3,1,TUKWILA,98178,343,26300,3,2,1,1,1,1,1,7,6, , , , , , , , , , , ,1,2001, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,205.45
1,2901,1,1,1,3,1,2,1,4,2,2,2,1,2,BREMERTON,98312,889,80900,4,0,2,2,1,1,6,7,2, , , , ,3,4,1,1,6,2,1,1,1993,3,2000, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,429.39
1,2903,1,1,8,2,1,2,1,4,2,6,6,2,1,FEDERAL WAY,98023,418,30201,3,2,1,2,2,1,4,7,6, , , , , , , , , , , ,1,2002,1,1998, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,193.79
1,2925,1,1,4,1,1,1,1,4,1,4,4,2,2,BREMERTON,98310,879,80102,4,0,1,1,2,1,2,7,5, , , , ,3,4,2,5,7,4,1,1,1997, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,134.91
1,2930,1,1,1,4,2,2,1,3,2,14,11,4,4,LAKE STEVENS,98258,637,52604,6,0,1,2,1,1,1,6,6, , , , , , , , , , , ,3,1997,3,2001, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,674.28
1,2933,1,1,7,2,1,2,1,4,2,14,11,4,1,SEATTLE,98115,27,2100,1,1,1,2,1,1,1,7,4, , , , ,2,1,1,1,6,6,99,1,1999,1,1999, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,121.67
1,2934,1,1,4,1,1,0,0,4,1,2,2,1,1,SEATTLE,98199,83,5802,1,1,1,2,2,2,5,7,2, , , , ,2,1,1,1,4,4,8, , , , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,409.58
1,2935,1,1,2,4,2,2,1,3,2,12,11,4,3,GIG HARBOR,98332,838,72505,5,0,2,3,4,1,1,5,5, , , , ,1,1,1,1,5,5,23,4,1993,3,2001, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,590.19
1,2936,1,1,7,2,1,2,1,4,2,7,7,3,3,FORT LEWIS,98433,850,72904,5,0,1,3,4,3,96,7,7, , , , , , , , , , , ,4,1997,1,1997, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,295.64
1,2966,1,1,4,1,1,2,1,4,1,9,9,3,4,EVERETT,98203,550,41500,6,0,1,1,1,1,1,7,7, , , , , , , , , , , ,4,1986,1,1996, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,187.17
1,2979,1,1,6,2,2,2,1,3,2,9,9,3,4,LYNNWOOD,98036,597,51905,6,0,1,2,3,1,4,2,2,1,REDMOND,98052,264,2,2,2,5,7,4,13,4,1999,3,2005, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,879.9
1,2980,1,1,5,1,1,1,1,4,1,3,3,1,1,SEATTLE,98103,63,4600,1,1,1,2,1,1,1,7,6, , , , , , , , , , , ,1,1996, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,173.74
1,2983,1,1,4,1,1,1,1,4,1,5,5,2,4,EVERETT,98204,562,41804,6,0,1,2,2,1,5,3,4, , , , ,2,3,1,5,6,5,3,1,2002, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,180.29
1,2991,1,1,4,1,1,1,1,4,1,4,4,2,4,EDMONDS,98020,578,50500,6,0,1,1,2,1,5,7,5,1,SEATTLE,98103,67,1,1,1,1,7,6,1,1,2006, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,389.12
1,3019,1,1,7,2,2,2,1,3,2,6,6,2,3,TACOMA,98422,767,70800,5,0,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1999,4,2001, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,344
1,3035,1,1,4,1,0,1,1,3,1,12,11,4,3,LAKEWOOD,98498,818,72107,5,0,1,98,1,1,1,2,2,3,TACOMA,98418,720,1,1,1,1,7,6,21,1,1992, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,275.74
1,3042,1,1,8,3,1,3,1,4,3,10,10,3,1,REDMOND,98053,498,32312,2,2,1,2,1,1,1,2,3,1,REDMOND,98052,512,2,1,1,1,6,6,8,1,1998,3,2003,1,1990, , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,161.85
1,3043,1,1,2,3,2,3,1,3,2,8,8,3,1,DES MOINES,98198,382,29003,3,2,1,1,1,1,1,6,6, , , , , , , , , , , ,1,1989,1,1999,4,1992, , , , , , , , , , , , , , ,1, ,2006,4,4,11,12,2,254.82
1,3070,1,1,5,1,0,1,1,3,1,5,5,2,1,KIRKLAND,98033,257,22400,2,2,1,1,1,1,1,7,7, , , , , , , , , , , ,1,2001, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,6,7,4,216.27
1,3090,1,1,5,1,0,1,1,3,1,2,2,1,2,PORT ORCHARD,98366,929,92300,4,0,1,2,1,2,1,7,6, , , , , , , , , , , ,1,1999, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,170.63
1,3091,1,1,2,2,1,1,1,4,1,7,7,3,2,POULSBO,98370,912,91203,4,0,1,2,1,1,1,7,4, , , , ,1,1,2,1,7,3,3,1,2005, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,114.65
1,3165,1,1,8,2,0,2,1,3,2,99,11,4,1,SEATTLE,98125,15,1200,1,1,1,1,1,1,1,7,7, , , , , , , , , , , ,3,1995,3,2004, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,97.49
1,3195,1,1,5,1,0,1,1,3,1,3,3,1,1,BELLEVUE,98004,300,24000,2,2,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1968, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,345.01
1,3203,1,1,7,2,2,3,1,3,2,6,6,2,1,SEATTLE,98178,216,11900,1,1,1,1,1,1,1,7,6, , , , , , , , , , , ,1,1997,1,1990,2,1982, , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,146.34
1,3212,1,1,1,4,2,2,1,3,2,12,11,4,1,MAPLE VALLEY,98038,476,32003,3,2,2,2,1,1,1,3,4,1,MAPLE VALLEY,98038,460,2,1,1,1,4,4,3,1,2001,1,2002, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,418.39
