,GEOID,name,state,variable,,estimate,moe,label,concept,census_geography,acs_type,year,se,cv,reliability
15,53033,King County,Washington,B08301_015,,1091,273,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Means of Transportation to Work,County,acs5,2022,165.9574468,0.152114983,fair
16,53033,King County,Washington,B08301_016,,2659,454,Estimate!!Total:!!Taxicab,Means of Transportation to Work,County,acs5,2022,275.9878419,0.103793848,good
17,53033,King County,Washington,B08301_017,,2207,305,Estimate!!Total:!!Motorcycle,Means of Transportation to Work,County,acs5,2022,185.4103343,0.08401012,good
18,53033,King County,Washington,B08301_018,,14820,1006,Estimate!!Total:!!Bicycle,Means of Transportation to Work,County,acs5,2022,611.550152,0.041265192,good
19,53033,King County,Washington,B08301_019,,55967,1890,Estimate!!Total:!!Walked,Means of Transportation to Work,County,acs5,2022,1148.93617,0.020528815,good
20,53033,King County,Washington,B08301_020,,11278,1126,Estimate!!Total:!!Other means,Means of Transportation to Work,County,acs5,2022,684.4984802,0.060693251,good
21,53033,King County,Washington,B08301_021,,274322,4271,Estimate!!Total:!!Worked from home,Means of Transportation to Work,County,acs5,2022,2596.352584,0.009464617,good
22,53035,Kitsap County,Washington,B08301_001,,131017,1703,Estimate!!Total:,Means of Transportation to Work,County,acs5,2022,1035.258359,0.00790171,good
23,53035,Kitsap County,Washington,B08301_002,,97632,1803,"Estimate!!Total:!!Car, truck, or van:",Means of Transportation to Work,County,acs5,2022,1096.048632,0.011226326,good
24,53035,Kitsap County,Washington,B08301_003,,86609,1899,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",Means of Transportation to Work,County,acs5,2022,1154.407295,0.013328953,good
25,53035,Kitsap County,Washington,B08301_004,,11023,1067,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Means of Transportation to Work,County,acs5,2022,648.6322188,0.058843529,good
26,53035,Kitsap County,Washington,B08301_005,,8332,859,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",Means of Transportation to Work,County,acs5,2022,522.1884498,0.062672642,good
27,53035,Kitsap County,Washington,B08301_006,,1360,439,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",Means of Transportation to Work,County,acs5,2022,266.8693009,0.196227427,fair
28,53035,Kitsap County,Washington,B08301_007,,672,224,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",Means of Transportation to Work,County,acs5,2022,136.1702128,0.202634245,fair
29,53035,Kitsap County,Washington,B08301_008,,285,139,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",Means of Transportation to Work,County,acs5,2022,84.49848024,0.296485896,fair
30,53035,Kitsap County,Washington,B08301_009,,374,172,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Means of Transportation to Work,County,acs5,2022,104.5592705,0.279570242,fair
31,53035,Kitsap County,Washington,B08301_010,,8385,750,Estimate!!Total:!!Public transportation (excluding taxicab):,Means of Transportation to Work,County,acs5,2022,455.9270517,0.054374127,good
32,53035,Kitsap County,Washington,B08301_011,,2354,461,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Means of Transportation to Work,County,acs5,2022,280.2431611,0.119049771,good
33,53035,Kitsap County,Washington,B08301_012,,33,33,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Means of Transportation to Work,County,acs5,2022,20.06079027,0.607902736,use with extreme caution
34,53035,Kitsap County,Washington,B08301_013,,19,27,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Means of Transportation to Work,County,acs5,2022,16.41337386,0.863861782,use with extreme caution
35,53035,Kitsap County,Washington,B08301_014,,25,29,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",Means of Transportation to Work,County,acs5,2022,17.62917933,0.705167173,use with extreme caution
36,53035,Kitsap County,Washington,B08301_015,,5954,655,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Means of Transportation to Work,County,acs5,2022,398.1762918,0.066875427,good
37,53035,Kitsap County,Washington,B08301_016,,132,84,Estimate!!Total:!!Taxicab,Means of Transportation to Work,County,acs5,2022,51.06382979,0.386847195,use with caution
38,53035,Kitsap County,Washington,B08301_017,,737,257,Estimate!!Total:!!Motorcycle,Means of Transportation to Work,County,acs5,2022,156.231003,0.211982365,fair
39,53035,Kitsap County,Washington,B08301_018,,682,199,Estimate!!Total:!!Bicycle,Means of Transportation to Work,County,acs5,2022,120.9726444,0.177379244,fair
40,53035,Kitsap County,Washington,B08301_019,,6983,638,Estimate!!Total:!!Walked,Means of Transportation to Work,County,acs5,2022,387.8419453,0.055540877,good
41,53035,Kitsap County,Washington,B08301_020,,1320,286,Estimate!!Total:!!Other means,Means of Transportation to Work,County,acs5,2022,173.8601824,0.131712259,good
42,53035,Kitsap County,Washington,B08301_021,,15146,838,Estimate!!Total:!!Worked from home,Means of Transportation to Work,County,acs5,2022,509.4224924,0.033634127,good
43,53053,Pierce County,Washington,B08301_001,28349,446913,2800,Estimate!!Total:,Means of Transportation to Work,County,acs5,2022,1702.12766,0.003808633,good
44,53053,Pierce County,Washington,B08301_002,,369261,3060,"Estimate!!Total:!!Car, truck, or van:",Means of Transportation to Work,County,acs5,2022,1860.182371,0.005037581,good
45,53053,Pierce County,Washington,B08301_003,,324848,3547,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",Means of Transportation to Work,County,acs5,2022,2156.231003,0.006637661,good
46,53053,Pierce County,Washington,B08301_004,,44413,2008,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Means of Transportation to Work,County,acs5,2022,1220.668693,0.027484491,good
47,53053,Pierce County,Washington,B08301_005,,32918,1675,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",Means of Transportation to Work,County,acs5,2022,1018.237082,0.030932532,good
48,53053,Pierce County,Washington,B08301_006,,6207,839,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",Means of Transportation to Work,County,acs5,2022,510.0303951,0.082170194,good
49,53053,Pierce County,Washington,B08301_007,,2721,775,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",Means of Transportation to Work,County,acs5,2022,471.1246201,0.173143925,fair
50,53053,Pierce County,Washington,B08301_008,,1306,308,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",Means of Transportation to Work,County,acs5,2022,187.2340426,0.143364504,good
51,53053,Pierce County,Washington,B08301_009,,1261,326,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Means of Transportation to Work,County,acs5,2022,198.1762918,0.157158043,fair
52,53053,Pierce County,Washington,B08301_010,,13092,1095,Estimate!!Total:!!Public transportation (excluding taxicab):,Means of Transportation to Work,County,acs5,2022,665.6534954,0.050844294,good
53,53053,Pierce County,Washington,B08301_011,,8213,859,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Means of Transportation to Work,County,acs5,2022,522.1884498,0.06358072,good
54,53053,Pierce County,Washington,B08301_012,,114,90,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Means of Transportation to Work,County,acs5,2022,54.7112462,0.479923212,use with caution
55,53053,Pierce County,Washington,B08301_013,,4467,586,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Means of Transportation to Work,County,acs5,2022,356.231003,0.079747258,good
56,53053,Pierce County,Washington,B08301_014,,245,146,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",Means of Transportation to Work,County,acs5,2022,88.75379939,0.362260406,use with caution
57,53053,Pierce County,Washington,B08301_015,,53,50,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Means of Transportation to Work,County,acs5,2022,30.39513678,0.573493147,use with extreme caution
58,53053,Pierce County,Washington,B08301_016,,310,202,Estimate!!Total:!!Taxicab,Means of Transportation to Work,County,acs5,2022,122.7963526,0.396117266,use with caution
59,53053,Pierce County,Washington,B08301_017,,654,185,Estimate!!Total:!!Motorcycle,Means of Transportation to Work,County,acs5,2022,112.4620061,0.171960254,fair
60,53053,Pierce County,Washington,B08301_018,,1358,318,Estimate!!Total:!!Bicycle,Means of Transportation to Work,County,acs5,2022,193.3130699,0.142351303,good
61,53053,Pierce County,Washington,B08301_019,,9782,927,Estimate!!Total:!!Walked,Means of Transportation to Work,County,acs5,2022,563.5258359,0.057608448,good
62,53053,Pierce County,Washington,B08301_020,,3814,599,Estimate!!Total:!!Other means,Means of Transportation to Work,County,acs5,2022,364.1337386,0.095472926,good
63,53053,Pierce County,Washington,B08301_021,,48642,1745,Estimate!!Total:!!Worked from home,Means of Transportation to Work,County,acs5,2022,1060.790274,0.021808114,good
64,53061,Snohomish County,Washington,B08301_001,352191,418564,3058,Estimate!!Total:,Means of Transportation to Work,County,acs5,2022,1858.966565,0.004441296,good
65,53061,Snohomish County,Washington,B08301_002,,323021,3150,"Estimate!!Total:!!Car, truck, or van:",Means of Transportation to Work,County,acs5,2022,1914.893617,0.005928078,good
66,53061,Snohomish County,Washington,B08301_003,0.917175623,282634,3272,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",Means of Transportation to Work,County,acs5,2022,1989.057751,0.007037574,good
67,53061,Snohomish County,Washington,B08301_004,,40387,1779,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Means of Transportation to Work,County,acs5,2022,1081.458967,0.026777403,good
68,53061,Snohomish County,Washington,B08301_005,,31687,1579,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",Means of Transportation to Work,County,acs5,2022,959.8784195,0.030292499,good
69,53061,Snohomish County,Washington,B08301_006,,5373,744,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",Means of Transportation to Work,County,acs5,2022,452.2796353,0.08417637,good
70,53061,Snohomish County,Washington,B08301_007,,1700,390,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",Means of Transportation to Work,County,acs5,2022,237.0820669,0.139460039,good
71,53061,Snohomish County,Washington,B08301_008,,1193,266,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",Means of Transportation to Work,County,acs5,2022,161.7021277,0.135542437,good
72,53061,Snohomish County,Washington,B08301_009,,434,208,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Means of Transportation to Work,County,acs5,2022,126.443769,0.29134509,fair
73,53061,Snohomish County,Washington,B08301_010,0.044975596,15840,959,Estimate!!Total:!!Public transportation (excluding taxicab):,Means of Transportation to Work,County,acs5,2022,582.9787234,0.036804212,good
74,53061,Snohomish County,Washington,B08301_011,,14602,950,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Means of Transportation to Work,County,acs5,2022,577.5075988,0.039549897,good
75,53061,Snohomish County,Washington,B08301_012,,132,104,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Means of Transportation to Work,County,acs5,2022,63.2218845,0.47895367,use with caution
76,53061,Snohomish County,Washington,B08301_013,,777,207,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Means of Transportation to Work,County,acs5,2022,125.8358663,0.161950922,fair
77,53061,Snohomish County,Washington,B08301_014,,151,93,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",Means of Transportation to Work,County,acs5,2022,56.53495441,0.374403672,use with caution
78,53061,Snohomish County,Washington,B08301_015,,178,114,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Means of Transportation to Work,County,acs5,2022,69.30091185,0.389330965,use with caution
79,53061,Snohomish County,Washington,B08301_016,,295,170,Estimate!!Total:!!Taxicab,Means of Transportation to Work,County,acs5,2022,103.343465,0.350316831,use with caution
80,53061,Snohomish County,Washington,B08301_017,,788,210,Estimate!!Total:!!Motorcycle,Means of Transportation to Work,County,acs5,2022,127.6595745,0.162004536,fair
81,53061,Snohomish County,Washington,B08301_018,,1371,353,Estimate!!Total:!!Bicycle,Means of Transportation to Work,County,acs5,2022,214.5896657,0.156520544,fair
82,53061,Snohomish County,Washington,B08301_019,,7461,808,Estimate!!Total:!!Walked,Means of Transportation to Work,County,acs5,2022,491.1854103,0.065833723,good
83,53061,Snohomish County,Washington,B08301_020,,3415,497,Estimate!!Total:!!Other means,Means of Transportation to Work,County,acs5,2022,302.1276596,0.088470764,good
84,53061,Snohomish County,Washington,B08301_021,,66373,2022,Estimate!!Total:!!Worked from home,Means of Transportation to Work,County,acs5,2022,1229.179331,0.018519267,good
85,REGION,Region,Washington,B08301_001,,2209402,6282.44992,Estimate!!Total:,Means of Transportation to Work,County,acs5,2022,3819.118493,0.001728576,good
86,REGION,Region,Washington,B08301_002,,1528875,6755.334559,"Estimate!!Total:!!Car, truck, or van:",Means of Transportation to Work,County,acs5,2022,4106.586358,0.002686018,good
87,REGION,Region,Washington,B08301_003,,1340026,7417.223402,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",Means of Transportation to Work,County,acs5,2022,4508.950397,0.003364823,good
88,REGION,Region,Washington,B08301_004,,188849,4144.884799,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Means of Transportation to Work,County,acs5,2022,2519.686808,0.013342336,good
89,REGION,Region,Washington,B08301_005,,145023,3634.340518,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",Means of Transportation to Work,County,acs5,2022,2209.325543,0.015234311,good
90,REGION,Region,Washington,B08301_006,,25112,1580.744761,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",Means of Transportation to Work,County,acs5,2022,960.9390645,0.03826613,good
91,REGION,Region,Washington,B08301_007,,9082,1040.040865,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",Means of Transportation to Work,County,acs5,2022,632.2436867,0.069615028,good
92,REGION,Region,Washington,B08301_008,,6433,751.2636022,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",Means of Transportation to Work,County,acs5,2022,456.6951989,0.070992569,good
93,REGION,Region,Washington,B08301_009,,3199,484.0960648,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Means of Transportation to Work,County,acs5,2022,294.2833221,0.091992286,good
94,REGION,Region,Washington,B08301_010,,150011,3228.977392,Estimate!!Total:!!Public transportation (excluding taxicab):,Means of Transportation to Work,County,acs5,2022,1962.90419,0.013085068,good
95,REGION,Region,Washington,B08301_011,,120222,2908.230046,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Means of Transportation to Work,County,acs5,2022,1767.921001,0.01470547,good
96,REGION,Region,Washington,B08301_012,,5222,631.0546728,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Means of Transportation to Work,County,acs5,2022,383.6198619,0.073462249,good
97,REGION,Region,Washington,B08301_013,,7971,775.4630875,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Means of Transportation to Work,County,acs5,2022,471.4061322,0.05914015,good
98,REGION,Region,Washington,B08301_014,,9320,881.6473218,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",Means of Transportation to Work,County,acs5,2022,535.9558187,0.057505989,good
99,REGION,Region,Washington,B08301_015,,7276,720.4512475,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,Means of Transportation to Work,County,acs5,2022,437.9642842,0.060193002,good
100,REGION,Region,Washington,B08301_016,,3396,531.8608841,Estimate!!Total:!!Taxicab,Means of Transportation to Work,County,acs5,2022,323.3196864,0.095206032,good
101,REGION,Region,Washington,B08301_017,,4386,487.2360824,Estimate!!Total:!!Motorcycle,Means of Transportation to Work,County,acs5,2022,296.1921474,0.067531269,good
102,REGION,Region,Washington,B08301_018,,18231,1130.207945,Estimate!!Total:!!Bicycle,Means of Transportation to Work,County,acs5,2022,687.0565018,0.037686167,good
103,REGION,Region,Washington,B08301_019,,80193,2343.360194,Estimate!!Total:!!Walked,Means of Transportation to Work,County,acs5,2022,1424.535072,0.017763833,good
104,REGION,Region,Washington,B08301_020,,19827,1398.385498,Estimate!!Total:!!Other means,Means of Transportation to Work,County,acs5,2022,850.0823694,0.042874987,good
105,REGION,Region,Washington,B08301_021,,404483,5106.583398,Estimate!!Total:!!Worked from home,Means of Transportation to Work,County,acs5,2022,3104.306017,0.00767475,good
