variable,description,logic
disagree_test,Select strongly disagree if you are paying attention.,NA
traffic_deaths,Traffic-related deaths are an unfortunate but inevitable part of traveling.,NA
traffic_rules,"If I follow the traffic rules, I can expect to be safe on the road.",NA
crash_participant,I have personally been in a traffic crash.,NA
crash_witness,I have witnessed a traffic crash involving another person or other people who were traveling.,NA
crash_near_miss,I have personally had a near-miss experience while traveling..,NA
security_concern,I have experienced a personal security concern while traveling.,NA
no_experience,None of these events or experiences has happened to me.,NA
no_share,I prefer not to share about such events.,NA
experience_followup,Are you comfortable answering a few questions about the crash?,If crash_participant
crash_when,When did the traffic crash occur?,If crash_participant and experience_followup is Yes
crash_mode,How were you traveling when the crash happened?,If crash_participant and experience_followup is Yes
crash_travelling_other,How were you traveling when the crash happened? (Other),if crash_mode = other
crash_time,"To the best of your recollection, at what time of day did the crash occur?",If crash_participant and experience_followup is Yes
crash_time_other,"To the best of your recollection, at what time of day did the crash occur? (Other)",If crash_time = other
crash_conditions_clear,Crash weather conditions -- Clear / No bad conditions,If crash_participant and experience_followup is Yes
crash_conditions_cloud,Crash weather conditions -- Cloudy or overcast,If crash_participant and experience_followup is Yes
crash_conditions_rain,Crash weather conditions -- Rain,If crash_participant and experience_followup is Yes
crash_conditions_snow,Crash weather conditions -- Snow,If crash_participant and experience_followup is Yes
crash_conditions_sleet,Crash weather conditions -- Sleet or freezing rain,If crash_participant and experience_followup is Yes
crash_conditions_fog,Crash weather conditions -- Fog,If crash_participant and experience_followup is Yes
crash_conditions_unknown,Crash weather conditions -- Unknown,If crash_participant and experience_followup is Yes
crash_conditions_other,Crash weather conditions -- Other,If crash_participant and experience_followup is Yes
crash_conditions_unsure,Crash weather conditions -- I am not sure/don't remember,If crash_participant and experience_followup is Yes
crash_conditions_pnta,Crash weather conditions -- Prefer not to say,If crash_participant and experience_followup is Yes
crash_conditions_other_specify,Other weather conditions during crash,If selected crash_conditions_other
crash_involved,Were others involved in the crash?,If crash_participant and experience_followup is Yes and crash_involved is Yes
crash_number_people,"Including yourself, how many parties were involved in the crash?",If crash_participant and experience_followup is Yes
crash_other_mode,"Other party's mode of transport during crash -- Mode of transport during crash -- Driving or riding in a personal, rented, or carshare vehicle",If crash_participant and experience_followup is Yes
crash_other_tnc,"Other party's mode of transport during crash -- Mode of transport during crash -- Using a rideshare service (Uber, Lyft, other smartphone-app ride service, or taxi)",If crash_participant and experience_followup is Yes
crash_other_motorcycle,Other party's mode of transport during crash -- Mode of transport during crash -- Riding a motorcycle,If crash_participant and experience_followup is Yes
crash_other_car,Other party's mode of transport during crash -- Mode of transport during crash -- Driving or riding in a transit vehicle,If crash_participant and experience_followup is Yes
crash_other_bike,Other party's mode of transport during crash -- Mode of transport during crash -- Bicycling,If crash_participant and experience_followup is Yes
crash_other_escooter,Other party's mode of transport during crash -- Mode of transport during crash -- Riding an e-scooter,If crash_participant and experience_followup is Yes
crash_other_walk,Other party's mode of transport during crash -- Mode of transport during crash -- Walking/rolling,If crash_participant and experience_followup is Yes
crash_other_other,Other party's mode of transport during crash -- Mode of transport during crash -- Other,If crash_participant and experience_followup is Yes
crash_other_unsure,Other party's mode of transport during crash -- Mode of transport during crash -- I am not sure/don't remember,If crash_participant and experience_followup is Yes
crash_other_pnta,Other party's mode of transport during crash -- Mode of transport during crash -- Prefer not to say,If crash_participant and experience_followup is Yes
crash_other_specify,Other party's mode of transport during crash,if selected crash_other_other
crash_severity,How would you describe the severity of the crash?,If crash_participant and experience_followup is Yes
crash_worry_self,After the crash -- I worry more about traffic safety for myself.,If crash_participant and experience_followup is Yes
crash_worry_others,After the crash -- I worry more about traffic safety for my friends and family.,If crash_participant and experience_followup is Yes
crash_change_travel,After the crash -- I have changed the means of travel that I use in some cases.,If crash_participant and experience_followup is Yes
crash_change_time,After the crash -- I have changed the time of day of my travel in some cases.,If crash_participant and experience_followup is Yes
crash_travel_less,After the crash -- I travel less often in general.,If crash_participant and experience_followup is Yes
crash_none,After the crash -- None of these apply to me.,If crash_participant and experience_followup is Yes
crash_share_other,What else would you like to share about how the crash has influenced how you travel?,If crash_participant and experience_followup is Yes
crash_share_sentiment,Sentiment - What else would you like to share about how the crash has influenced how you travel?,If crash_participant and experience_followup is Yes
near_miss_followup,Are you comfortable answering a few questions about the near miss?,If near_miss_participant and not crash_participant
near_miss_when,When did the near miss occur?,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_mode,How were you traveling when your near miss happened?,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_mode_other_specify,Other way of traveling when near miss happened,If near_miss_mode = other
near_miss_time,"To the best of your recollection, at what time of day did the near miss occur?",If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_clear,Near miss weather conditions -- Clear / No bad conditions,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_cloudy,Near miss weather conditions -- Cloudy or overcast,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_rain,Near miss weather conditions -- Rain,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_snow,Near miss weather conditions -- Snow,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_sleet,Near miss weather conditions -- Sleet or freezing rain,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_fog,Near miss weather conditions -- Fog,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_unknown,Near miss weather conditions -- Unknown,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_other,Near miss weather conditions -- Other,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_unsure,Near miss weather conditions -- I am not sure/don't remember,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_pnta,Near miss weather conditions -- Prefer not to say,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_other_specify,Other weather conditions when near miss happened,if selected near_miss_other
near_miss_other_party,"Was another party involved in the near miss? Remember, party means either a single person or a group of people traveling together.",If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_num_people,"Including yourself, how many parties were involved in the near miss?",If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_care,"Other party's mode of transport during near miss -- Mode of transport during near miss -- Driving or riding in a personal, rented, or carshare vehicle",If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_tnc,"Other party's mode of transport during near miss -- Mode of transport during near miss -- Using a rideshare service (Uber, Lyft, other smartphone-app ride service, or taxi)",If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_motorcylce,Other party's mode of transport during near miss -- Mode of transport during near miss -- Riding a motorcycle,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_driving,Other party's mode of transport during near miss -- Mode of transport during near miss -- Driving or riding in a transit vehicle,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_bike,Other party's mode of transport during near miss -- Mode of transport during near miss -- Bicycling,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_scooter,Other party's mode of transport during near miss -- Mode of transport during near miss -- Riding an e-scooter,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_walking,Other party's mode of transport during near miss -- Mode of transport during near miss -- Walking/rolling,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_mode_other_party,Other party's mode of transport during near miss -- Mode of transport during near miss -- Other,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_mode_unsure,Other party's mode of transport during near miss -- Mode of transport during near miss -- I am not sure/don't remember,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_mode_pnta,Other party's mode of transport during near miss -- Mode of transport during near miss -- Prefer not to say,If near_miss_participant and not crash_participant and near_miss_followup is Yes and near_miss_other_party is not No
near_miss_mode_other_party_specify,Other party's mode of transport during near miss,if selected near_miss_mode_other_party
near_miss_worry_self,After the near miss -- I worry more about traffic safety for myself.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_worry_others,After the near miss -- I worry more about traffic safety for my friends and family.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_change_travel,After the near miss -- I have changed the means of travel that I use in some cases.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_change_time,After the near miss -- I have changed the time of day of my travel in some cases.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_travel_less,After the near miss -- I travel less often in general.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
near_miss_none,After the near miss -- None of these apply to me.,If near_miss_participant and not crash_participant and near_miss_followup is Yes
witness_followup,"Are you comfortable answering a few questions about the crash that you witnessed? If you have witnessed more than one crash, we would like to know about the one that sticks out most clearly in your mind.",If witness_participant and not crash_participant or near_miss_participant
witness_when,When did you witness the crash?,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_num_people,"How many parties were in the crash that you witnessed? Remember, party means either a single person or a group of people traveling together.",If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_driving,"Other party's mode witnessed -- Driving or riding in a personal, rented, or carshare vehicle",If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_tnc,"Other party's mode witnessed -- Using a rideshare service (Uber, Lyft, other smartphone-app ride service, or taxi)",If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_motorcycle,Other party's mode witnessed -- Riding a motorcycle,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_transit,Other party's mode witnessed -- Driving or riding in a transit vehicle,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_bike,Other party's mode witnessed -- Bicycling,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_scooter,Other party's mode witnessed -- Riding an e-scooter,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_walk,Other party's mode witnessed -- Walking/rolling,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_other,Other party's mode witnessed -- Other,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_unsure,Other party's mode witnessed -- I am not sure/don't remember,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_pnta,Other party's mode witnessed -- Prefer not to say,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_mode_other_specify,Other party's mode of transport during witnessed crash,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_time,"To the best of your recollection, at what time of day did the crash that you witnessed occur?",If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_clear,Witnessed crash weather conditions -- Clear / No bad conditions,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_cloud,Witnessed crash weather conditions -- Cloudy or overcast,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_rain,Witnessed crash weather conditions -- Rain,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_snow,Witnessed crash weather conditions -- Snow,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_sleet,Witnessed crash weather conditions -- Sleet or freezing rain,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_fog,Witnessed crash weather conditions -- Fog,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_unsure,Witnessed crash weather conditions -- Unknown,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_other_condition,Witnessed crash weather conditions -- Other,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_other_condition_specify,Other weather conditions when witnessed crash happens,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_severity,How would you describe the severity of the crash you witnessed?,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_severity_other_specify,Other witnessed crash severity,if witness_severity = other
witness_worry_self,After witnessed crash -- I worry more about traffic safety for myself.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_worry_others,After witnessed crash -- I worry more about traffic safety for my friends and family.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_change_travel,After witnessed crash -- I have changed the means of travel that I use in some cases.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_change_time,After witnessed crash -- I have changed the time of day of my travel in some cases.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_travel_less,After witnessed crash -- I travel less often in general.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_none,After witnessed crash -- None of these apply to me.,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_other,After witnessed crash -- Other,If witness_participant and not crash_participant or near_miss_participant and witness_followup is Yes
witness_other_specify,Other,If selected witness_other
personal_security_followup,Are you comfortable answering a few questions about the personal security concern you experienced?,if security_concern
security_smoking,Experienced while traveling -- Smoking or vaping tobacco or other drugs too close to me,if security_concern
security_music,Experienced while traveling -- Playing loud music or videos without headphones,if security_concern
security_yelling,"Experienced while traveling -- Yelling, arguing, or acting aggressively toward others",if security_concern
security_touching,Experienced while traveling -- Unwanted touching or standing too close,if security_concern
security_comments,"Experienced while traveling -- Making rude or threatening comments, including catcalling",if security_concern
security_intimidation,Experienced while traveling -- Groups acting in a loud or intimidating way,if security_concern
security_erratic,"Experienced while traveling -- People behaving erratically (e.g., talking loudly to themselves or at others)",if security_concern
security_approaching,Experienced while traveling -- People approaching unexpectedly,if security_concern
security_lewd,Experienced while traveling -- Lewd or explicit behaviors,if security_concern
security_violence,Experienced while traveling -- Physical violence,if security_concern
security_property,Experienced while traveling -- Property damage,if security_concern
security_other,Experienced while traveling -- Other (please specify),if security_concern
security_other_specify,Other experience while traveling,if selected security_other
age,How old are you?,If postcard particpant (email responses merged from HTS)
ethnicity_4,Ethnicity -- Cuban,If postcard particpant (email responses merged from HTS)
ethnicity_2,"Ethnicity -- Mexican, Mexican American, Chicano",If postcard particpant (email responses merged from HTS)
ethnicity_3,Ethnicity -- Puerto Rican,If postcard particpant (email responses merged from HTS)
ethnicity_997,"Ethnicity -- Another Hispanic, Latino, or Spanish origin",If postcard particpant (email responses merged from HTS)
ethnicity_1,"Ethnicity -- Not of Hispanic, Latino, or Spanish origin",If postcard particpant (email responses merged from HTS)
ethnicity_999,Ethnicity -- Prefer not to say,If postcard particpant (email responses merged from HTS)
race_1,Race -- African American or Black,If postcard particpant (email responses merged from HTS)
race_2,Race -- American Indian or Alaska Native,If postcard particpant (email responses merged from HTS)
race_3,Race -- Asian,If postcard particpant (email responses merged from HTS)
race_4,Race -- Native Hawaiian or other Pacific Islander,If postcard particpant (email responses merged from HTS)
race_5,Race -- White,If postcard particpant (email responses merged from HTS)
race_997,Race -- Other race,If postcard particpant (email responses merged from HTS)
race_999,Race -- Prefer not to say,If postcard particpant (email responses merged from HTS)
race_other_specify,Other race,If postcard particpant (email responses merged from HTS)
gender,Gender,If postcard particpant (email responses merged from HTS)
hhsize,Household size,If postcard particpant (email responses merged from HTS)
hh_children,Do you have children (under age 18) living in your household?,If postcard particpant
numchildren,Number of children in household,If postcard particpant & hh_children is Yes
vehicle_count,Number of vehicles,If postcard particpant (email responses merged from HTS)
hhincome_detailed,Last year's household income detailed categories,If postcard particpant (email responses merged from HTS)
disability_person,Person has a disability or illness that affects ability to travel,If postcard particpant
mobility_aides,Person uses mobility aides,If postcard particpant and disability is Yes
home_loc_1,Home address line 1 (or intersection street 1),If postcard particpant
home_loc_2,Home address line 2 (or intersection street 2),If postcard particpant
home_loc_3,Home city,If postcard particpant
home_loc_4,Home state or province,If postcard particpant
home_loc_5,Home zip code,If postcard particpant
participate,Respondent is willing to be recontacted for future transportation research,NA
same_answer_prop,Proportion of first 14 survey questions with the same answer.,NA
incentive_complete,Did the participant complete the study and receive an incentive?,NA
