variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name,
commute_subsidy_use_4,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) parking at work,Commute benefit used -- Discounted (partially subsidized) parking at work,commute_subsidy_use,
commute_subsidy_use_5,1,0,1,0,0,0,0,integer/categorical,"Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)","Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",commute_subsidy_use,
commute_subsidy_use_6,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),commute_subsidy_use,
commute_subsidy_use_7,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Ability to work from home,Commute benefit used -- Ability to work from home,commute_subsidy_use,
commute_subsidy_use_996,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- None of the above,Commute benefit used -- None of the above,commute_subsidy_use,
copied_trip,0,0,0,0,1,0,0,integer/categorical,Trip was copied from another HH member,Trip was copied from another HH member,copied_trip,
d_in_region,0,0,0,0,1,0,0,integer/categorical,Trip destination is in PSRC MPO area,Trip destination is in PSRC MPO area,d_in_region,
day_id,0,0,0,1,1,0,0,numeric,Unique identifier for each person day,Unique identifier for each person day,day_id,
day_iscomplete,0,0,0,1,1,0,0,integer/categorical,All surveys are completed for travel date,All surveys are completed for travel date,day_iscomplete,
day_pct_trips_flagged,0,0,0,1,0,0,0,numeric,Percent of person's trip traces flagged on day,Percent of person's trip traces flagged on day,day_pct_trips_flagged,
day_weight,0,0,0,1,0,0,0,numeric,Person Day weight for 2023,Person Day weight for 2023,day_weight,
day_weight_2023,0,0,0,1,0,0,0,NA,NA,NA,NA,
daynum,0,0,0,1,1,0,0,numeric,Diary day sequence,Diary day sequence,daynum,
days_first_trip,0,0,0,0,1,0,0,integer/categorical,First trip of the day (Flag).,First trip of the day (Flag).,days_first_trip,
days_last_trip,0,0,0,0,1,0,0,integer/categorical,Last trip of the day (Flag).,Last trip of the day (Flag).,days_last_trip,
deliver_elsewhere,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered elsewhere,Deliveries and home services -- Packages delivered elsewhere,deliver,
deliver_food,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Food/meal prep delivered,Deliveries and home services -- Food/meal prep delivered,deliver,
deliver_grocery,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Groceries delivered,Deliveries and home services -- Groceries delivered,deliver,
deliver_none,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- None,Deliveries and home services -- None,deliver,
deliver_office,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered at work,Deliveries and home services -- Packages delivered at work,deliver,
deliver_other,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Other deliveries,Deliveries and home services -- Other deliveries,deliver,
deliver_package,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered at home,Deliveries and home services -- Packages delivered at home,deliver,
deliver_work,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Services delivered,Deliveries and home services -- Services delivered,deliver,
depart_date,0,0,0,0,1,0,0,date,Date of departure,Date of departure,depart_date,
depart_dow,0,0,0,0,1,0,0,integer/categorical,Departure day of week,Departure day of week,depart_dow,
depart_time_hour,0,0,0,0,1,0,0,numeric,Departure time hour,Departure time hour,depart_time_hour,
depart_time_minute,0,0,0,0,1,0,0,numeric,Departure time minute,Departure time minute,depart_time_minute,
depart_time_second,0,0,0,0,1,0,0,numeric,Departure time second,Departure time second,depart_time_second,
depart_time_timestamp,0,0,0,0,1,0,0,date-time,Departure time timestamp,Departure time timestamp,depart_time_timestamp,
dest_county,0,0,0,0,1,0,0,integer/categorical,Trip Destination County,Trip Destination County,dest_county,
dest_jurisdiction,0,0,0,0,1,0,0,integer/categorical,Trip Destination Jurisdiction,Trip Destination Jurisdiction,dest_jurisdiction,
dest_lat,0,0,0,0,1,0,0,numeric,Destination latitude,Destination latitude,dest_lat,
dest_lng,0,0,0,0,1,0,0,numeric,Destination longitude,Destination longitude,dest_lng,
dest_name,0,0,0,0,1,0,0,character,Destination name,Destination name,dest_name,
dest_purpose,0,0,0,0,1,0,0,integer/categorical,Destination purpose,Destination purpose,dest_purpose,
dest_purpose_cat,0,0,0,0,1,0,0,integer/categorical,Destination purpose category,Destination purpose category (derived),dest_purpose_cat,
dest_purpose_cat_5,0,0,0,0,1,0,0,integer/categorical,Destination purpose category (5 categories),Destination purpose category (5 categories),dest_purpose_cat_5,
dest_purpose_other,0,0,0,0,1,0,0,character,Other trip destination textbox answer,Other trip destination textbox answer,dest_purpose_other,
dest_rgcname,0,0,0,0,1,0,0,integer/categorical,Destination location: Regional Growth Center,Destination location: Regional Growth Center,dest_rgcname,
dest_tract10,0,0,0,0,1,0,0,character,Destination Census Tract 2010,Destination Census Tract 2010,dest_tract10,
dest_tract20,0,0,0,0,1,0,0,character,Destination Census Tract 2020,Destination Census Tract 2020,dest_tract20,
dest_x_coord,0,0,0,0,1,0,0,numeric,Destination: X coordinate,Destination: X coordinate,dest_x_coord,
dest_y_coord,0,0,0,0,1,0,0,numeric,Destination: Y coordinate,Destination: Y coordinate,dest_y_coord,
disability_person,0,0,1,0,0,0,0,integer/categorical,Person has a disability or illness that affects ability to travel,Person has a disability or illness that affects ability to travel,disability_person,
distance_meters,0,0,0,0,1,0,0,numeric,Distance (meters). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,Distance (meters). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,distance_meters,
distance_miles,0,0,0,0,1,0,0,numeric,Distance (miles). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,Distance (miles). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,distance_miles,
driver,0,0,0,0,1,0,0,integer/categorical,"Driver or passenger on auto trip, non-taxi","Driver or passenger on auto trip, non-taxi",driver,
duration_minutes,0,0,0,0,1,0,0,numeric,Duration (in minutes). Calculated as the difference between start and stop time of the trip.,Duration (in minutes). Calculated as the difference between start and stop time of the trip.,duration_minutes,
duration_seconds,0,0,0,0,1,0,0,numeric,Duration (in seconds). Calculated as the difference between start and stop time of the trip.,Duration (in seconds). Calculated as the difference between start and stop time of the trip.,duration_seconds,
dwell_mins,0,0,0,0,1,0,0,numeric,"Dwell minutes.  Minutes spent at destination location, calculated as the time elapsed between the trip arrive time and the depart time of the next trip. Zero if the trip is the last trip made by the person.","Dwell minutes.  Minutes spent at destination location, calculated as the time elapsed between the trip arrive time and the depart time of the next trip. Zero if the trip is the last trip made by the person.",dwell_mins,
education,0,0,1,0,0,0,0,integer/categorical,Educational attainment,Educational attainment,education,
employment,0,0,1,0,0,0,0,integer/categorical,Employment status,Employment status,employment,
ethnicity_1,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Not of Hispanic, Latino, or Spanish origin","Ethnicity -- Not of Hispanic, Latino, or Spanish origin",ethnicity,
ethnicity_2,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Mexican, Mexican American, Chicano","Ethnicity -- Mexican, Mexican American, Chicano",ethnicity,
ethnicity_3,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Puerto Rican,Ethnicity -- Puerto Rican,ethnicity,
ethnicity_4,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Cuban,Ethnicity -- Cuban,ethnicity,
ethnicity_997,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Another Hispanic, Latino, or Spanish origin","Ethnicity -- Another Hispanic, Latino, or Spanish origin",ethnicity,
ethnicity_999,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Prefer not to answer,Ethnicity -- Prefer not to answer,ethnicity,
ethnicity_other,0,0,1,0,0,0,0,character,Other ethnicity textbox answer,Other ethnicity textbox answer,ethnicity_other,
ev_typical_charge_1,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At home,Typical charge location for EV -- At home,ev_typical_charge,
ev_typical_charge_2,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At work,Typical charge location for EV -- At work,ev_typical_charge,
ev_typical_charge_3,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a commute location (e.g., Park and Ride lot, parking garage)","Typical charge location for EV -- At a commute location (e.g., Park and Ride lot, parking garage)",ev_typical_charge,
ev_typical_charge_4,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a shopping location (e.g., grocery store, shopping mall)","Typical charge location for EV -- At a shopping location (e.g., grocery store, shopping mall)",ev_typical_charge,
ev_typical_charge_5,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a public location (e.g., hospital, library, government building)","Typical charge location for EV -- At a public location (e.g., hospital, library, government building)",ev_typical_charge,
ev_typical_charge_6,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At a hotel/inn,Typical charge location for EV -- At a hotel/inn,ev_typical_charge,
ev_typical_charge_997,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- Other,Typical charge location for EV -- Other,ev_typical_charge,
flag_teleport,0,0,0,0,1,0,0,integer/categorical,>=250m gap occurs after trip,>=250m gap occurs after trip,flag_teleport,
fuel,0,0,0,0,0,1,0,integer/categorical,Fuel type,Fuel type,fuel,
gender,0,0,1,0,0,0,0,integer/categorical,Gender,Gender,gender,
hh_day_iscomplete,0,0,0,1,0,0,0,integer/categorical,All surveys are completed for travel date for all household members (Monday - Thursday),All surveys are completed for travel date for all household members (Monday - Thursday),hh_day_iscomplete,
hh_is_complete,0,1,1,0,0,0,0,integer/categorical,Household provided complete travel information for one travel day,Household provided complete travel information for one travel day,hh_is_complete,
hh_race_category,0,1,0,0,0,0,0,integer/categorical,"Household Race Category, including Asian, most detail","Household Race Category, including Asian, most detail",hh_race_category,
hh_weight,0,1,0,0,0,0,0,numeric,Household 2023 stand-alone weight,Household 2023 stand-alone weight,hh_weight,
hh_weight_2017_2019_combined,0,1,0,0,0,0,0,NA,NA,NA,NA,
hhgroup,0,1,0,0,0,0,0,integer/categorical,Travel Diary (Part 2) participation group,Travel Diary (Part 2) participation group,hhgroup,
hhincome_broad,0,1,0,0,0,0,0,integer/categorical,"Household income 2020 broad categories, all respondents","Household income 2020 broad categories, all respondents",hhincome_broad,
hhincome_detailed,0,1,0,0,0,0,0,integer/categorical,Household income 2020 detailed categories,Household income 2020 detailed categories,hhincome_detailed,
hhincome_followup,0,1,0,0,0,0,0,integer/categorical,Household income 2020 broad follow-up categories,Household income 2020 broad follow-up categories,hhincome_followup,
hhmember1,0,0,0,0,1,0,0,integer/categorical,Household member 1 was on trip,Household member 1 was on trip,hhmember1,
hhmember10,0,0,0,0,1,0,0,integer/categorical,Household member 10 was on trip,Household member 10 was on trip,hhmember10,
hhmember11,0,0,0,0,1,0,0,integer/categorical,Household member 11 was on trip,Household member 11 was on trip,hhmember11,
hhmember12,0,0,0,0,1,0,0,integer/categorical,Household member 12 was on trip,Household member 12 was on trip,hhmember12,
hhmember2,0,0,0,0,1,0,0,integer/categorical,Household member 2 was on trip,Household member 2 was on trip,hhmember2,
hhmember3,0,0,0,0,1,0,0,integer/categorical,Household member 3 was on trip,Household member 3 was on trip,hhmember3,
hhmember4,0,0,0,0,1,0,0,integer/categorical,Household member 4 was on trip,Household member 4 was on trip,hhmember4,
hhmember5,0,0,0,0,1,0,0,integer/categorical,Household member 5 was on trip,Household member 5 was on trip,hhmember5,
hhmember6,0,0,0,0,1,0,0,integer/categorical,Household member 6 was on trip,Household member 6 was on trip,hhmember6,
hhmember7,0,0,0,0,1,0,0,integer/categorical,Household member 7 was on trip,Household member 7 was on trip,hhmember7,
hhmember8,0,0,0,0,1,0,0,integer/categorical,Household member 8 was on trip,Household member 8 was on trip,hhmember8,
hhmember9,0,0,0,0,1,0,0,integer/categorical,Household member 9 was on trip,Household member 9 was on trip,hhmember9,
hhsize,0,1,0,0,0,0,0,integer/categorical,Household size,Household size,hhsize,
home_county,0,1,0,0,0,0,0,integer/categorical,Final home address: County ,Final home address: County ,home_county,
home_jurisdiction,0,1,0,0,0,0,0,integer/categorical,Home Location Jurisdiction,Home Location Jurisdiction,home_jurisdiction,
home_lat,0,1,0,0,0,0,0,numeric,Final home address latitude,Final home address latitude,home_lat,
home_lng,0,1,0,0,0,0,0,numeric,Final home address longitude,Final home address longitude,home_lng,
home_rgcname,0,1,0,0,0,0,0,integer/categorical,Final home address: Regional growth center,Final home address: Regional growth center,home_rgcname,
home_tract20,0,1,0,0,0,0,0,character,Final home address: Census Tract,Final home address: Census Tract,home_tract20,
hours_work,0,0,1,0,0,0,0,integer/categorical,Number of hours typically worked last week,Number of hours typically worked last week,hours_work,
household_id,0,1,1,1,1,1,0,character,Unique identifier for each household,Unique identifier for each household,household_id,
industry,0,0,1,0,0,0,0,integer/categorical,Current employment industry,Current employment industry,industry,
industry_other,0,0,1,0,0,0,0,character,Current employment industry: user specified in text box,Current employment industry: user specified in text box,industry_other,
is_participant,0,0,1,1,0,0,0,integer/categorical,"Person is participant (rMove: over 17, has smartphone, is surveyable; online: over 17 and is surveyable)","Person is participant (rMove: over 17, has smartphone, is surveyable; online: over 17 and is surveyable)",is_participant,
jobs_count,0,0,1,0,0,0,0,integer/categorical,Number of jobs,Number of jobs,jobs_count,
license,0,0,1,0,0,0,0,integer/categorical,"Answers yes to ""Do you/household person drive?""","Answers yes to ""Do you/household person drive?""",license,
lifecycle,0,1,0,0,0,0,0,integer/categorical,Household lifecycle stage,Household lifecycle stage,lifecycle,
loc_end,0,0,0,1,0,0,0,integer/categorical,Location at end of travel day,Location at end of travel day,loc_end,
loc_start,0,0,0,1,0,0,0,integer/categorical,Location at start of travel day,Location at start of travel day,loc_start,
make,0,0,0,0,0,1,0,character,Vehicle make,Vehicle make,make,
mobility_aides,0,0,1,0,0,0,0,integer/categorical,"Person uses mobility aides (wheelchairs, walkers, crutches, canes, braces, etc.)","Person uses mobility aides (wheelchairs, walkers, crutches, canes, braces, etc.)",mobility_aides,
mode_1,0,0,0,0,1,0,0,integer/categorical,Primary mode,Primary mode,mode_1,
mode_2,0,0,0,0,1,0,0,integer/categorical,Second mode chosen,Second mode chosen,mode_2,
mode_3,0,0,0,0,1,0,0,integer/categorical,Third mode chosen,Third mode chosen,mode_3,
mode_4,0,0,0,0,1,0,0,integer/categorical,Fourth mode chosen,Fourth mode chosen,mode_4,
mode_acc,0,0,0,0,1,0,0,integer/categorical,Travel mode to transit,Travel mode to transit,mode_acc,
mode_characterization,0,0,0,0,1,0,0,integer/categorical,Do Not Use!!! Older version,Do Not Use!!! Older version,mode_characterization,
mode_class,0,0,0,0,1,0,0,integer/categorical,Primary Trip Mode (derived from mode_1~mode_4),Primary Trip Mode (derived from mode_1~mode_4),mode_class,
mode_class_5,0,0,0,0,1,0,0,integer/categorical,Primary Trip Mode (5 categories),Primary Trip Mode (5 categories),mode_class_5,
mode_egr,0,0,0,0,1,0,0,integer/categorical,Travel mode from transit,Travel mode from transit,mode_egr,
mode_other_specify,0,0,0,0,1,0,0,character,Other mode specified in textbox,Other mode specified in textbox,mode_other_specify,
mode_simple,0,0,0,0,1,0,0,integer/categorical,Do Not Use!!! Only considered mode_1,Do Not Use!!! Only considered mode_1,mode_simple,
mode_type,0,0,0,0,1,0,0,integer/categorical,Synthesized mode (derived),Synthesized mode (derived),mode_type,
model,0,0,0,0,0,1,0,character,Vehicle model,Vehicle model,model,
model_other,0,0,0,0,0,1,0,character,Other vehicle model textbox answer,Other vehicle model textbox answer,model_other,
no_school_closed,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- School was closed or adjusted due to weather event,Didn't travel to school -- School was closed or adjusted due to weather event,no_school,
no_school_dont_know,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Don't know,Didn't travel to school -- Don't know,no_school_dont,
no_school_no_answer,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Prefer not to answer,Didn't travel to school -- Prefer not to answer,no_school_no,
no_school_online_home,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Attended class online from home,Didn't travel to school -- Attended class online from home,no_school_online,
no_school_online_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Attended class online from another location,Didn't travel to school -- Attended class online from another location,no_school_online,
no_school_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Other reason,Didn't travel to school -- Other reason,no_school,
no_school_sick,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Sick or quarantining,Didn't travel to school -- Sick or quarantining,no_school,
no_school_vacation,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- School was scheduled to be closed,Didn't travel to school -- School was scheduled to be closed,no_school,
notravel_delivery,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Was waiting for a delivery or visitor,Didn't travel -- Was waiting for a delivery or visitor,notravel,
notravel_housework,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Worked around home (not for pay),Didn't travel -- Worked around home (not for pay),notravel,
notravel_kidsbreak,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Kids were on school vacation / break,Didn't travel -- Kids were on school vacation / break,notravel,
notravel_kidshomeschool,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Kids were home schooled,Didn't travel -- Kids were home schooled,notravel,
notravel_madetrips,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Made trips that day (erroneously recorded no trips),Didn't travel -- Made trips that day (erroneously recorded no trips),notravel,
notravel_not_sure,1,0,0,1,0,0,0,integer/categorical,"Didn't travel -- Person may have traveled, but not sure when or where","Didn't travel -- Person may have traveled, but not sure when or where",notravel_not,
notravel_notransport,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Had no available transportation,Didn't travel -- Had no available transportation,notravel,
notravel_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Other reason,Didn't travel -- Other reason,notravel,
notravel_sick,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Was sick or caring for another person at home,Didn't travel -- Was sick or caring for another person at home,notravel,
notravel_telecommute,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Worked from home for pay,Didn't travel -- Worked from home for pay,notravel,
notravel_vacation,1,0,0,1,0,0,0,integer/categorical,"Didn't travel -- Not scheduled to work, vacation/personal day","Didn't travel -- Not scheduled to work, vacation/personal day",notravel,
notravel_weather,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Weather conditions,Didn't travel -- Weather conditions,notravel,
num_complete_fri,0,1,0,0,0,0,0,numeric,Number of Fridays on which the household was complete,Number of Fridays on which the household was complete,num_complete_fri,
num_complete_mon,0,1,0,0,0,0,0,numeric,Number of Mondays on which the household was complete,Number of Mondays on which the household was complete,num_complete_mon,
num_complete_sat,0,1,0,0,0,0,0,numeric,Number of Saturdays on which the household was complete,Number of Saturdays on which the household was complete,num_complete_sat,
num_complete_sun,0,1,0,0,0,0,0,numeric,Number of Sundays on which the household was complete,Number of Sundays on which the household was complete,num_complete_sun,
num_complete_thu,0,1,0,0,0,0,0,numeric,Number of Thursdays on which the household was complete,Number of Thursdays on which the household was complete,num_complete_thu,
num_complete_trip_surveys,0,0,0,1,0,0,0,numeric,Number of complete trip surveys on travel day,Number of complete trip surveys on travel day,num_complete_trip_surveys,
num_complete_tue,0,1,0,0,0,0,0,numeric,Number of Tuesdays on which the household was complete,Number of Tuesdays on which the household was complete,num_complete_tue,
num_complete_wed,0,1,0,0,0,0,0,numeric,Number of Wednesdays on which the household was complete,Number of Wednesdays on which the household was complete,num_complete_wed,
num_days_complete_weekday,0,1,0,0,0,0,0,numeric,Number of weekdays (Monday through Friday) on which the household was complete,Number of weekdays (Monday through Friday) on which the household was complete,num_days_complete_weekday,
num_days_complete_weekend,0,1,0,0,0,0,0,numeric,Number of weekend days (Saturdays and Sundays) on which the household was complete,Number of weekend days (Saturdays and Sundays) on which the household was complete,num_days_complete_weekend,
num_no_flag_days,0,0,1,0,0,0,0,numeric,Number of person days with no trip trace flags,Number of person days with no trip trace flags,num_no_flag_days,
num_participants,0,1,0,0,0,0,0,numeric,"Number of survey participants in household (for rMove: over 17 and has a smartphone, not proxied, and is related to person 1; for online survey: ppersons over 17 and related to person 1)","Number of survey participants in household (for rMove: over 17 and has a smartphone, not proxied, and is related to person 1; for online survey: ppersons over 17 and related to person 1)",num_participants,
num_students,0,1,0,0,0,0,0,integer/categorical,Number of students in household,Number of students in household,num_students,
num_surveyable,0,1,0,0,0,0,0,integer/categorical,Number of surveyable (related to person 1) household members,Number of surveyable (related to person 1) household members,num_surveyable,
num_trips,0,1,1,1,0,0,0,numeric,"Household, person, or person-day number of trips","Household, person, or person-day number of trips",num_trips,
numadults,0,1,0,0,0,0,0,integer/categorical,Number of adults in household,Number of adults in household,numadults,
numchildren,0,1,0,0,0,0,0,integer/categorical,Number of children in household,Number of children in household,numchildren,
numdayscomplete,0,1,1,0,0,0,0,numeric,Household or person number of days complete,Household or person number of days complete,numdayscomplete,
numworkers,0,1,0,0,0,0,0,integer/categorical,Number of workers in household,Number of workers in household,numworkers,
o_in_region,0,0,0,0,1,0,0,integer/categorical,Trip origin is in PSRC MPO area,Trip origin is in PSRC MPO area,o_in_region,
office_available,0,0,1,0,0,0,0,integer/categorical,Availability of private work space outside the home,Availability of private work space outside the home,office_available,
origin_county,0,0,0,0,1,0,0,integer/categorical,Origin county,Origin county,origin_county,
origin_jurisdiction,0,0,0,0,1,0,0,integer/categorical,Trip Origin Jurisdiction,Trip Origin Jurisdiction,origin_jurisdiction,
