variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name
ev_typical_charge_1,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At home,if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_2,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At work,if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_3,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a commute location (e.g., Park and Ride lot, parking garage)",if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_4,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a shopping location (e.g., grocery store, shopping mall)",if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_5,1,0,1,0,0,0,0,integer/categorical,"Typical charge location for EV -- At a public location (e.g., hospital, library, government building)",if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_6,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- At a hotel/inn,if fuel type of primary vehicle driven is electric,ev_typical_charge
ev_typical_charge_997,1,0,1,0,0,0,0,integer/categorical,Typical charge location for EV -- Other,if fuel type of primary vehicle driven is electric,ev_typical_charge
flag_teleport,0,0,0,0,1,0,0,integer/categorical,>=250m gap occurs after trip,if hhgroup = rMove,flag_teleport
fuel,0,0,0,0,0,1,0,integer/categorical,Fuel type,,fuel
gender,0,0,1,0,0,0,0,integer/categorical,Gender,,gender
hh_day_iscomplete,0,0,0,1,0,0,0,integer/categorical,All surveys are completed for travel date for all household members (Monday - Thursday),,hh_day_iscomplete
hh_is_complete,0,1,1,0,0,0,0,integer/categorical,Household provided complete travel information for one travel day,,hh_is_complete
hh_race_category,0,1,0,0,0,0,0,integer/categorical,"Household Race Category, including Asian, most detail",,hh_race_category
hh_weight,0,1,0,0,0,0,0,numeric,Household-level weight,,hh_weight
hh_weight_2017_2019_combined,0,1,0,0,0,0,0,numeric,Household-level weight for 2017 and 2019 combined,,hh_weight_2017_2019_combined
hhgroup,0,1,0,0,0,0,0,integer/categorical,Travel Diary (Part 2) participation group,,hhgroup
hhincome_broad,0,1,0,0,0,0,0,integer/categorical,"Household income 2020 broad categories, all respondents",,hhincome_broad
hhincome_detailed,0,1,0,0,0,0,0,integer/categorical,Household income 2020 detailed categories,,hhincome_detailed
hhincome_followup,0,1,0,0,0,0,0,integer/categorical,Household income 2020 broad follow-up categories,if hhincome_detailed = prefer not to answer,hhincome_followup
hhmember1,0,0,0,0,1,0,0,integer/categorical,Household member 1 was on trip,,hhmember1
hhmember10,0,0,0,0,1,0,0,integer/categorical,Household member 10 was on trip,,hhmember10
hhmember11,0,0,0,0,1,0,0,integer/categorical,Household member 11 was on trip,,hhmember11
hhmember12,0,0,0,0,1,0,0,integer/categorical,Household member 12 was on trip,,hhmember12
hhmember2,0,0,0,0,1,0,0,integer/categorical,Household member 2 was on trip,,hhmember2
hhmember3,0,0,0,0,1,0,0,integer/categorical,Household member 3 was on trip,,hhmember3
hhmember4,0,0,0,0,1,0,0,integer/categorical,Household member 4 was on trip,,hhmember4
hhmember5,0,0,0,0,1,0,0,integer/categorical,Household member 5 was on trip,,hhmember5
hhmember6,0,0,0,0,1,0,0,integer/categorical,Household member 6 was on trip,,hhmember6
hhmember7,0,0,0,0,1,0,0,integer/categorical,Household member 7 was on trip,,hhmember7
hhmember8,0,0,0,0,1,0,0,integer/categorical,Household member 8 was on trip,,hhmember8
hhmember9,0,0,0,0,1,0,0,integer/categorical,Household member 9 was on trip,,hhmember9
hhsize,0,1,0,0,0,0,0,integer/categorical,Household size,,hhsize
home_county,0,1,0,0,0,0,0,integer/categorical,Final home address: County,,home_county
home_jurisdiction,0,1,0,0,0,0,0,integer/categorical,Home Location Jurisdiction,,home_jurisdiction
home_lat,0,1,0,0,0,0,0,numeric,Final home address latitude,,home_lat
home_lng,0,1,0,0,0,0,0,numeric,Final home address longitude,,home_lng
home_rgcname,0,1,0,0,0,0,0,integer/categorical,Final home address: Regional growth center,,home_rgcname
home_tract20,0,1,0,0,0,0,0,character,Final home address: Census Tract,,home_tract20
hours_work,0,0,1,0,0,0,0,integer/categorical,Number of hours typically worked last week,if full/part/self employed,hours_work
household_id,0,1,1,1,1,1,0,character,Unique identifier for each household,,household_id
industry,0,0,1,0,0,0,0,integer/categorical,Current employment industry,if full/part/self employed,industry
industry_other,0,0,1,0,0,0,0,character,Current employment industry: user specified in text box,if industry is 'Other',industry_other
is_participant,0,0,1,1,0,0,0,integer/categorical,"Person is participant (rMove: over 17, has smartphone, is surveyable; online: over 17 and is surveyable)",,is_participant
jobs_count,0,0,1,0,0,0,0,integer/categorical,Number of jobs,if household has 1 or more participating members employed full/part/self/volunteer,jobs_count
license,0,0,1,0,0,0,0,integer/categorical,"Answers yes to ""Do you/household person drive?""",If age 16 or older,license
lifecycle,0,1,0,0,0,0,0,integer/categorical,Household lifecycle stage,,lifecycle
loc_end,0,0,0,1,0,0,0,integer/categorical,Location at end of travel day,if last trip was not copied,loc_end
loc_start,0,0,0,1,0,0,0,integer/categorical,Location at start of travel day,if first trip was not copied & diary_platform = 'rmove' & age 18+,loc_start
make,0,0,0,0,0,1,0,character,Vehicle make,,make
mobility_aides,0,0,1,0,0,0,0,integer/categorical,"Person uses mobility aides (wheelchairs, walkers, crutches, canes, braces, etc.)",If disability = yes,mobility_aides
mode_1,0,0,0,0,1,0,0,integer/categorical,Primary mode,,mode_1
mode_2,0,0,0,0,1,0,0,integer/categorical,Second mode chosen,if hhgroup = rMove,mode_2
mode_3,0,0,0,0,1,0,0,integer/categorical,Third mode chosen,if hhgroup = rMove,mode_3
mode_4,0,0,0,0,1,0,0,integer/categorical,Fourth mode chosen,if hhgroup = rMove,mode_4
mode_acc,0,0,0,0,1,0,0,integer/categorical,Travel mode to transit,"if transit trip (bus, rail, streetcar, ferry)",mode_acc
mode_class,0,0,0,0,1,0,0,integer/categorical,Primary Trip Mode (derived from mode_1~mode_4),,mode_class
mode_class_5,0,0,0,0,1,0,0,integer/categorical,Primary Trip Mode (5 categories),,mode_class_5
mode_egr,0,0,0,0,1,0,0,integer/categorical,Travel mode from transit,"if transit trip (bus, rail, streetcar, ferry)",mode_egr
mode_other_specify,0,0,0,0,1,0,0,character,Other mode specified in textbox,"if mode = ""Other""",mode_other_specify
model,0,0,0,0,0,1,0,character,Vehicle model,,model
model_other,0,0,0,0,0,1,0,character,Other vehicle model textbox answer,"if model = ""Other""",model_other
no_school_closed,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- School was closed or adjusted due to weather event,if child didn't travel to school on travel day,no_school
no_school_dont_know,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Don't know,if child didn't travel to school on travel day,no_school
no_school_no_answer,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Prefer not to answer,if child didn't travel to school on travel day,no_school
no_school_online_home,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Attended class online from home,if child didn't travel to school on travel day,no_school
no_school_online_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Attended class online from another location,if child didn't travel to school on travel day,no_school
no_school_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Other reason,if child didn't travel to school on travel day,no_school
no_school_sick,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- Sick or quarantining,if child didn't travel to school on travel day,no_school
no_school_vacation,1,0,0,1,0,0,0,integer/categorical,Didn't travel to school -- School was scheduled to be closed,if child didn't travel to school on travel day,no_school
notravel_delivery,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Was waiting for a delivery or visitor,if no trips on travel day,notravel
notravel_housework,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Worked around home (not for pay),if no trips on travel day,notravel
notravel_kidsbreak,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Kids were on school vacation / break,if no trips on travel day,notravel
notravel_kidshomeschool,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Kids were home schooled,if no trips on travel day,notravel
notravel_madetrips,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Made trips that day (erroneously recorded no trips),if no trips on travel day,notravel
notravel_not_sure,1,0,0,1,0,0,0,integer/categorical,"Didn't travel -- Person may have traveled, but not sure when or where",if no trips on travel day and age < 18,notravel
notravel_notransport,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Had no available transportation,if no trips on travel day,notravel
notravel_other,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Other reason,if no trips on travel day,notravel
notravel_sick,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Was sick or caring for another person at home,if no trips on travel day,notravel
notravel_telecommute,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Worked from home for pay,if no trips on travel day and employment = full/part/self/volunteer,notravel
notravel_vacation,1,0,0,1,0,0,0,integer/categorical,"Didn't travel -- Not scheduled to work, vacation/personal day",if no trips on travel day and employment = full/part/self/volunteer,notravel
notravel_weather,1,0,0,1,0,0,0,integer/categorical,Didn't travel -- Weather conditions,if no trips on travel day,notravel
num_complete_fri,0,1,0,0,0,0,0,numeric,Number of Fridays on which the household was complete,,num_complete_fri
num_complete_mon,0,1,0,0,0,0,0,numeric,Number of Mondays on which the household was complete,,num_complete_mon
num_complete_sat,0,1,0,0,0,0,0,numeric,Number of Saturdays on which the household was complete,,num_complete_sat
num_complete_sun,0,1,0,0,0,0,0,numeric,Number of Sundays on which the household was complete,,num_complete_sun
num_complete_thu,0,1,0,0,0,0,0,numeric,Number of Thursdays on which the household was complete,,num_complete_thu
num_complete_trip_surveys,0,0,0,1,0,0,0,numeric,Number of complete trip surveys on travel day,,num_complete_trip_surveys
num_complete_tue,0,1,0,0,0,0,0,numeric,Number of Tuesdays on which the household was complete,,num_complete_tue
num_complete_wed,0,1,0,0,0,0,0,numeric,Number of Wednesdays on which the household was complete,,num_complete_wed
num_days_complete_weekday,0,1,0,0,0,0,0,numeric,Number of weekdays (Monday through Friday) on which the household was complete,,num_days_complete_weekday
num_days_complete_weekend,0,1,0,0,0,0,0,numeric,Number of weekend days (Saturdays and Sundays) on which the household was complete,,num_days_complete_weekend
num_no_flag_days,0,0,1,0,0,0,0,numeric,Number of person days with no trip trace flags,,num_no_flag_days
num_participants,0,1,0,0,0,0,0,numeric,"Number of survey participants in household (for rMove: over 17 and has a smartphone, not proxied, and is related to person 1; for online survey: ppersons over 17 and related to person 1)",,num_participants
num_students,0,1,0,0,0,0,0,integer/categorical,Number of students in household,,num_students
num_surveyable,0,1,0,0,0,0,0,integer/categorical,Number of surveyable (related to person 1) household members,,num_surveyable
num_trips,0,1,1,1,0,0,0,numeric,"Household, person, or person-day number of trips",,num_trips
numadults,0,1,0,0,0,0,0,integer/categorical,Number of adults in household,,numadults
numchildren,0,1,0,0,0,0,0,integer/categorical,Number of children in household,,numchildren
numdayscomplete,0,1,1,0,0,0,0,numeric,Household or person number of days complete,,numdayscomplete
numworkers,0,1,0,0,0,0,0,integer/categorical,Number of workers in household,,numworkers
o_in_region,0,0,0,0,1,0,0,integer/categorical,Trip origin is in PSRC MPO area,,o_in_region
office_available,0,0,1,0,0,0,0,integer/categorical,Availability of private work space outside the home,"if employment = full/part/self/volunteer and job_type is ""work only from home""",office_available
origin_county,0,0,0,0,1,0,0,integer/categorical,Origin county,,origin_county
origin_jurisdiction,0,0,0,0,1,0,0,integer/categorical,Trip Origin Jurisdiction,,origin_jurisdiction
origin_lat,0,0,0,0,1,0,0,numeric,Origin latitude,,origin_lat
origin_lng,0,0,0,0,1,0,0,numeric,Origin longitude,,origin_lng
origin_name,0,0,0,0,1,0,0,character,Origin name,if hhgroup = online diary,origin_name
origin_purpose,0,0,0,0,1,0,0,integer/categorical,Origin purpose,,origin_purpose
origin_purpose_cat,0,0,0,0,1,0,0,integer/categorical,Origin purpose category (derived),,origin_purpose_cat
origin_purpose_cat_5,0,0,0,0,1,0,0,integer/categorical,Origin purpose category (5 categories),,origin_purpose_cat_5
origin_rgcname,0,0,0,0,1,0,0,integer/categorical,Origin location: Regional Growth Center,,origin_rgcname
origin_tract10,0,0,0,0,1,0,0,character,Origin Census Tract 2010,,origin_tract10
origin_tract20,0,0,0,0,1,0,0,character,Origin Census Tract 2020,,origin_tract20
origin_x_coord,0,0,0,0,1,0,0,numeric,Origin: X coordinate,,origin_x_coord
origin_y_coord,0,0,0,0,1,0,0,numeric,Origin: Y coordinate,,origin_y_coord
participate,0,0,1,0,0,0,0,integer/categorical,Respondent is willing to be recontacted for future transportation research,if ABS respondent and pernum = 1,participate
pernum,0,0,1,1,1,0,0,numeric,Person number in household,,pernum
person_id,0,0,1,1,1,0,0,character,Person unique identifier,,person_id
person_pct_trips_flagged,0,0,1,0,0,0,0,numeric,Percent of person's total trip traces flagged,,person_pct_trips_flagged
person_weight,0,0,1,0,0,0,0,numeric,Person-level weight,,person_weight
person_weight_2017_2019_combined,0,0,1,0,0,0,0,numeric,Person-level weight for 2017 and 2019 combined,,person_weight_2017_2019_combined
point_dist_index,0,0,0,0,1,0,0,numeric,Percentage points over expected for largest distance between two points on trip,,point_dist_index
proxy,0,0,1,0,0,0,0,numeric,Survey respondent/proxy,if ABS or (online panel and pernum = 1),point_dist_index
prev_home_county,0,1,0,0,0,0,0,integer/categorical,Previous home address: County,,prev_home_county
prev_home_jurisdiction,0,1,0,0,0,0,0,integer/categorical,Previous home address: Jurisdiction,,prev_home_jurisdiction
prev_home_lat,0,1,0,0,0,0,0,numeric,Previous home address latitude,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_lat
prev_home_lng,0,1,0,0,0,0,0,numeric,Previous home address longitude,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_lng
prev_home_notwa_city,0,1,0,0,0,0,0,character,Previous home address city,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_notwa_city
prev_home_notwa_state,0,1,0,0,0,0,0,integer/categorical,Previous home address state,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_notwa_state
prev_home_notwa_zip,0,1,0,0,0,0,0,character,Previous home address zip,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_notwa_zip
prev_home_rgcname,0,1,0,0,0,0,0,integer/categorical,Previous home address Regional Growth Center name,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_rgcname
prev_home_tract20,0,1,0,0,0,0,0,character,Previous home address: Census tract,if moved in last 5 years (2023: if moved in last 5 years from outside WA),prev_home_tract20
prev_home_wa,0,1,0,0,0,0,0,integer/categorical,Previous home in State of Washington (WA),if moved in last 5 years,prev_home_wa
prev_rent_own,0,1,0,0,0,0,0,integer/categorical,Previous home tenure status,if moved in last 5 years,prev_rent_own
prev_res_factors_amenities,1,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- To have better access to recreation, restaurants, shops, and other amenities",if moved in last 5 years,prev_res_factors
prev_res_factors_community_change,1,1,0,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Friends, family, or cultural community were leaving the area",if moved in last 5 years,prev_res_factors
prev_res_factors_crime,1,1,0,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Concerns about safety or crime,if moved in last 5 years,prev_res_factors
