variable	value	label	val_order						
benefits_4		"Offered, and I use"	70						
benefits_4		I don't know	71						
benefits_4		Missing: Skip Logic	72						
benefits_4		Missing Response	73						
benefits_4		N/A	74						
benefits_4			75						
bike_freq		6-7 days a week	76						
bike_freq		5 days a week	77						
bike_freq		4 days a week	78						
bike_freq		3 days a week	79						
bike_freq		2 days a week	80						
bike_freq		1 day a week	81						
bike_freq		1-3 days in the past month	82						
bike_freq		Missing Response	83						
bike_freq		Never in the past 30 days	84						
bike_freq_pre_2023		6-7 days a week	85						
bike_freq_pre_2023		5 days a week	86						
bike_freq_pre_2023		2-4 days a week	87						
bike_freq_pre_2023		1 day a week	88						
bike_freq_pre_2023		1-3 times in the past 30 days	89						
bike_freq_pre_2023		"I do this, but not in the past 30 days"	90						
bike_freq_pre_2023		I never do this	91						
bike_freq_pre_2023		Missing: Skip Logic	92						
bike_freq_pre_2023		Missing Response	93						
bike_freq_pre_2023			94						
bike_frequency		6-7 days a week	95						
bike_frequency		5 days a week	96						
bike_frequency		2-4 days a week	97						
bike_frequency		1 day a week	98						
bike_frequency		1-3 days in the past month	99						
bike_frequency		Missing Response	100						
bike_frequency		Never in the past 30 days	101						
broadband		"Yes, my current residence has broadband service"	102						
broadband		"Broadband service is available where I live, but I DO NOT have broadband service at my residence"	103						
broadband		Broadband service is not available where I live	104						
broadband		Don't know	105						
broadband		Missing Response	106						
broadband			107						
carshare_freq		6-7 days a week	108						
carshare_freq		5 days a week	109						
carshare_freq		4 days a week	110						
carshare_freq		3 days a week	111						
carshare_freq		2 days a week	112						
carshare_freq		2-4 days a week	113						
carshare_freq		1 day a week	114						
carshare_freq		1-3 times in the past 30 days	115						
carshare_freq		1-3 days in the past month	116						
carshare_freq		Never in the past 30 days	117						
carshare_freq		"I do this, but not in the past 30 days"	118						
carshare_freq		I never do this	119						
carshare_freq		Missing: Skip Logic	120						
carshare_freq		Missing Response	121						
carshare_freq			122						
change_vehicles		"No, stayed in the same vehicle (picked up/dropped off passengers)"	123						
change_vehicles		"Yes, changed vehicles to join carpool/vanpool"	124						
change_vehicles		Missing: Skip Logic	125						
commute_dur		Less than a year	126						
commute_dur		Between 1 and 2 years	127						
commute_dur		Between 2 and 3 years	128						
commute_dur		Between 3 and 5 years	129						
commute_dur		Between 5 and 10 years	130						
commute_dur		Between 10 and 20 years	131						
commute_dur		More than 20 years	132						
commute_dur		Missing: Skip Logic	133						
commute_freq		6-7 days a week	134						
commute_freq		5 days a week	135						
commute_freq		4 days a week	136						
commute_freq		3 days a week	137						
commute_freq		2 days a week	138						
commute_freq		1 day a week	139						
commute_freq		1-3 days a month	140						
commute_freq		Less than monthly	141						
commute_freq		Never	142						
commute_freq		Missing: Skip Logic	143						
commute_freq		A few times per month	144						
commute_freq		"None, did not commute to workplace last week"	145						
commute_subsidy_1		Not selected	146						
commute_subsidy_1		Selected	147						
commute_subsidy_1		Missing Response	148						
commute_subsidy_2		Not selected	149						
commute_subsidy_2		Selected	150						
commute_subsidy_2		Missing Response	151						
commute_subsidy_3		Not selected	152						
commute_subsidy_3		Selected	153						
commute_subsidy_3		Missing Response	154						
commute_subsidy_4		Not selected	155						
commute_subsidy_4		Selected	156						
commute_subsidy_4		Missing Response	157						
commute_subsidy_5		Not selected	158						
commute_subsidy_5		Selected	159						
commute_subsidy_5		Missing Response	160						
commute_subsidy_6		Not selected	161						
commute_subsidy_6		Selected	162						
commute_subsidy_6		Missing Response	163						
commute_subsidy_7		Not selected	164						
commute_subsidy_7		Selected	165						
commute_subsidy_7		Missing Response	166						
commute_subsidy_996		Not selected	167						
commute_subsidy_996		Selected	168						
commute_subsidy_996		Missing Response	169						
commute_subsidy_998		Not selected	170						
commute_subsidy_998		Selected	171						
commute_subsidy_998		Missing Response	172						
commute_subsidy_transit		Offered	173						
commute_subsidy_transit		Not offered	174						
commute_subsidy_transit		Missing Response	175						
commute_subsidy_use_1		Not selected	176						
commute_subsidy_use_1		Selected	177						
commute_subsidy_use_1		Missing Response	178						
commute_subsidy_use_2		Not selected	179						
commute_subsidy_use_2		Selected	180						
commute_subsidy_use_2		Missing Response	181						
commute_subsidy_use_3		Not selected	182						
commute_subsidy_use_3		Selected	183						
commute_subsidy_use_3		Missing Response	184						
commute_subsidy_use_4		Not selected	185						
commute_subsidy_use_4		Selected	186						
commute_subsidy_use_4		Missing Response	187						
commute_subsidy_use_5		Not selected	188						
commute_subsidy_use_5		Selected	189						
commute_subsidy_use_5		Missing Response	190						
commute_subsidy_use_6		Not selected	191						
commute_subsidy_use_6		Selected	192						
commute_subsidy_use_6		Missing Response	193						
commute_subsidy_use_7		Not selected	194						
commute_subsidy_use_7		Selected	195						
commute_subsidy_use_7		Missing Response	196						
commute_subsidy_use_996		Not selected	197						
commute_subsidy_use_996		Selected	198						
commute_subsidy_use_996		Missing Response	199						
d_in_region		No	200						
d_in_region		Yes	201						
d_in_region		Missing Response	202						
day_iscomplete		No	203						
day_iscomplete		Yes	204						
days_first_trip		No	205						
days_first_trip		Yes	206						
days_last_trip		No	207						
days_last_trip		Yes	208						
deliver_elsewhere		Not selected	209						
deliver_elsewhere		Selected	210						
deliver_elsewhere		Missing Response	211						
deliver_food		Yes	212						
deliver_food		No	213						
deliver_food		Missing Response	214						
deliver_food		Missing	215						
deliver_food		Missing: Non-response	216						
deliver_food		Missing: Skip Logic	217						
deliver_grocery		Yes	218						
deliver_grocery		No	219						
deliver_grocery		Missing Response	220						
deliver_grocery		Missing	221						
deliver_grocery		Missing: Non-response	222						
deliver_grocery		Missing: Skip Logic	223						
deliver_grocery		Missing Response	224						
deliver_none		Selected	225						
deliver_none		Not selected	226						
deliver_none		Missing Response	227						
deliver_none		Missing: Non-response	228						
deliver_none			229						
deliver_office		Selected	230						
deliver_office		Not selected	231						
deliver_office		Missing Response	232						
deliver_office		Missing: Non-response	233						
deliver_other		Selected	234						
deliver_other		Not selected	235						
deliver_other		Missing Response	236						
deliver_other		Missing: Non-response	237						
deliver_package		Yes	238						
deliver_package		No	239						
deliver_package		Missing Response	240						
deliver_package		Missing	241						
deliver_package		Missing: Non-response	242						
deliver_package		Missing: Skip Logic	243						
deliver_work		Yes	244						
deliver_work		No	245						
deliver_work		Missing Response	246						
deliver_work		Missing	247						
deliver_work		Missing: Non-response	248						
deliver_work		Missing: Skip Logic	249						
delivery_food_freq		0 (none)	250						
delivery_food_freq		1	251						
delivery_food_freq		2	252						
delivery_food_freq		3	253						
delivery_food_freq		4	254						
delivery_food_freq		5 or more	255						
delivery_food_freq		Missing: Skip Logic	256						
delivery_grocery_freq		0 (none)	257						
delivery_grocery_freq		1	258						
delivery_grocery_freq		2	259						
delivery_grocery_freq		3	260						
delivery_grocery_freq		4	261						
delivery_grocery_freq		5 or more	262						
delivery_grocery_freq		Missing: Skip Logic	263						
delivery_other_freq		0 (none)	264						
delivery_other_freq		1	265						
delivery_other_freq		2	266						
delivery_other_freq		3	267						
delivery_other_freq		4	268						
delivery_other_freq		5 or more	269						
delivery_other_freq		Missing: Skip Logic	270						
delivery_pkgs_freq		0 (none)	271						
delivery_pkgs_freq		1	272						
delivery_pkgs_freq		2	273						
delivery_pkgs_freq		3	274						
delivery_pkgs_freq		4	275						
delivery_pkgs_freq		5 or more	276						
delivery_pkgs_freq		Missing: Skip Logic	277						
delivery_work_freq		0 (none)	278						
delivery_work_freq		1	279						
delivery_work_freq		2	280						
delivery_work_freq		3	281						
delivery_work_freq		4	282						
delivery_work_freq		5 or more	283						
delivery_work_freq		Missing: Skip Logic	284						
depart_dow		Monday	285						
depart_dow		Tuesday	286						
depart_dow		Wednesday	287						
depart_dow		Thursday	288						
depart_dow		Friday	289						
depart_dow		Saturday	290						
depart_dow		Sunday	291						
dest_county		Adams County	292						
dest_county		Chelan County	293						
dest_county		Clallam County	294						
dest_county		Clark County	295						
dest_county		Cowlitz County	296						
dest_county		Douglas County	297						
dest_county		Franklin County	298						
dest_county		Grant County	299						
dest_county		Grays Harbor County	300						
dest_county		Island County	301						
dest_county		Jefferson County	302						
dest_county		King County	303						
dest_county		Kitsap County	304						
dest_county		Kittitas County	305						
dest_county		Klickitat County	306						
dest_county		Lewis County	307						
dest_county		Lincoln County	308						
dest_county		Mason County	309						
dest_county		Okanogan County	310						
dest_county		Pend Oreille County	311						
dest_county		Pierce County	312						
dest_county		San Juan County	313						
dest_county		Skagit County	314						
dest_county		Snohomish County	315						
dest_county		Spokane County	316						
dest_county		Thurston County	317						
dest_county		Walla Walla County	318						
dest_county		Whatcom County	319						
dest_county		Yakima County	320						
dest_county			321						
dest_jurisdiction		Algona	322						
dest_jurisdiction		Arlington	323						
dest_jurisdiction		Auburn	324						
dest_jurisdiction		Bainbridge Island	325						
dest_jurisdiction		Beaux Arts	326						
dest_jurisdiction		Bellevue	327						
dest_jurisdiction		Black Diamond	328						
dest_jurisdiction		Bonney Lake	329						
dest_jurisdiction		Bothell	330						
dest_jurisdiction		Bremerton	331						
dest_jurisdiction		Brier	332						
dest_jurisdiction		Buckley	333						
dest_jurisdiction		Burien	334						
dest_jurisdiction		Carbonado	335						
dest_jurisdiction		Carnation	336						
dest_jurisdiction		Clyde Hill	337						
dest_jurisdiction		Covington	338						
dest_jurisdiction		Darrington	339						
dest_jurisdiction		Des Moines	340						
dest_jurisdiction		DuPont	341						
dest_jurisdiction		Duvall	342						
dest_jurisdiction		Eatonville	343						
dest_jurisdiction		Edgewood	344						
dest_jurisdiction		Edmonds	345						
dest_jurisdiction		Enumclaw	346						
dest_jurisdiction		Everett	347						
dest_jurisdiction		Federal Way	348						
dest_jurisdiction		Fife	349						
dest_jurisdiction		Fircrest	350						
dest_jurisdiction		Gig Harbor	351						
dest_jurisdiction		Gold Bar	352						
dest_jurisdiction		Granite Falls	353						
dest_jurisdiction		Hunts Point	354						
dest_jurisdiction		Index	355						
dest_jurisdiction		Issaquah	356						
dest_jurisdiction		Kenmore	357						
dest_jurisdiction		Kent	358						
dest_jurisdiction		Kirkland	359						
dest_jurisdiction		Lake Forest Park	360						
dest_jurisdiction		Lake Stevens	361						
dest_jurisdiction		Lakewood	362						
dest_jurisdiction		Lynnwood	363						
dest_jurisdiction		Maple Valley	364						
dest_jurisdiction		Marysville	365						
dest_jurisdiction		Medina	366						
dest_jurisdiction		Mercer Island	367						
dest_jurisdiction		Mill Creek	368						
dest_jurisdiction		Milton	369						
dest_jurisdiction		Monroe	370						
dest_jurisdiction		Mountlake Terrace	371						
dest_jurisdiction		Mukilteo	372						
dest_jurisdiction		Newcastle	373						
dest_jurisdiction		Normandy Park	374						
dest_jurisdiction		North Bend	375						
dest_jurisdiction		Orting	376						
dest_jurisdiction		Outside WA	377						
dest_jurisdiction		Pacific	378						
dest_jurisdiction		Port Orchard	379						
dest_jurisdiction		Poulsbo	380						
dest_jurisdiction		Puyallup	381						
dest_jurisdiction		Redmond	382						
dest_jurisdiction		Renton	383						
dest_jurisdiction		Roy	384						
dest_jurisdiction		Ruston	385						
dest_jurisdiction		Sammamish	386						
dest_jurisdiction		Sea Tac	387						
dest_jurisdiction		Seattle	388						
dest_jurisdiction		Shoreline	389						
dest_jurisdiction		Skykomish	390						
dest_jurisdiction		Snohomish	391						
dest_jurisdiction		Snoqualmie	392						
dest_jurisdiction		South Prairie	393						
dest_jurisdiction		Stanwood	394						
dest_jurisdiction		Steilacoom	395						
dest_jurisdiction		Sultan	396						
dest_jurisdiction		Sumner	397						
dest_jurisdiction		Tacoma	398						
dest_jurisdiction		Tukwila	399						
dest_jurisdiction		Unincorporated Adams County	400						
dest_jurisdiction		Unincorporated Asotin County	401						
dest_jurisdiction		Unincorporated Benton County	402						
dest_jurisdiction		Unincorporated Chelan County	403						
dest_jurisdiction		Unincorporated Clallam County	404						
dest_jurisdiction		Unincorporated Clark County	405						
dest_jurisdiction		Unincorporated Cowlitz County	406						
dest_jurisdiction		Unincorporated Douglas County	407						
dest_jurisdiction		Unincorporated Ferry County	408						
dest_jurisdiction		Unincorporated Franklin County	409						
dest_jurisdiction		Unincorporated Grant County	410						
dest_jurisdiction		Unincorporated Grays Harbor County	411						
dest_jurisdiction		Unincorporated Island County	412						
dest_jurisdiction		Unincorporated Jefferson County	413						
dest_jurisdiction		Unincorporated King County	414						
dest_jurisdiction		Unincorporated Kitsap County	415						
dest_jurisdiction		Unincorporated Kittitas County	416						
dest_jurisdiction		Unincorporated Klickitat County	417						
dest_jurisdiction		Unincorporated Lewis County	418						
dest_jurisdiction		Unincorporated Lincoln County	419						
dest_jurisdiction		Unincorporated Mason County	420						
dest_jurisdiction		Unincorporated Okanogan County	421						
dest_jurisdiction		Unincorporated Pacific County	422						
dest_jurisdiction		Unincorporated Pend Oreille County	423						
dest_jurisdiction		Unincorporated Pierce County	424						
dest_jurisdiction		Unincorporated San Juan County	425						
dest_jurisdiction		Unincorporated Skagit County	426						
dest_jurisdiction		Unincorporated Skamania County	427						
dest_jurisdiction		Unincorporated Snohomish County	428						
dest_jurisdiction		Unincorporated Spokane County	429						
dest_jurisdiction		Unincorporated Stevens County	430						
dest_jurisdiction		Unincorporated Thurston County	431						
dest_jurisdiction		Unincorporated Wahkiakum County	432						
dest_jurisdiction		Unincorporated Walla Walla County	433						
dest_jurisdiction		Unincorporated Whatcom County	434						
dest_jurisdiction		Unincorporated Whitman County	435						
dest_jurisdiction		Unincorporated Yakima County	436						
dest_jurisdiction		University Place	437						
dest_jurisdiction		Unknown	438						
dest_jurisdiction		Wilkeson	439						
dest_jurisdiction		Woodinville	440						
dest_jurisdiction		Woodway	441						
dest_jurisdiction		Yarrow Point	442						
dest_jurisdiction			443						
dest_purpose		"Conducted personal business (e.g., bank, post office)"	444						
dest_purpose		Went grocery shopping	445						
dest_purpose		Went home	446						
dest_purpose		Went to religious/community/volunteer activity	447						
dest_purpose		"Went to work-related place (e.g., meeting, second job, delivery)"	448						
dest_purpose		"Went to other shopping (e.g., mall, pet store)"	449						
dest_purpose		"Social, leisure, religious, entertainment activity"	450						
dest_purpose		"Went to school/daycare (e.g., daycare, K-12, college)"	451						
dest_purpose		"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)"	452						
dest_purpose		Went to primary workplace	453						
dest_purpose		"Went to medical appointment (e.g., doctor, dentist)"	454						
dest_purpose		Went to restaurant to eat/get take-out	455						
dest_purpose		"Attended recreational event (e.g., movies, sporting event)"	456						
dest_purpose		"Attended social event (e.g., visit with friends, family, co-workers)"	457						
dest_purpose		"Went to exercise (e.g., gym, walk, jog, bike ride)"	458						
dest_purpose		Went to other work-related activity	459						
dest_purpose		Other purpose	460						
dest_purpose		Other appointment/errands (rMove only)	461						
dest_purpose		Other social/leisure (rMove only)	462						
dest_purpose		"Transferred to another mode of transportation (e.g., change from ferry to bus)"	463						
dest_purpose		Missing: Non-response	464						
dest_purpose		"Went to a family activity (e.g., child's softball game)"	465						
dest_purpose		NA	466						
dest_purpose		"Recreational event (e.g., movies, sporting event)"	467						
dest_purpose		"Exercise or recreation (e.g., gym, jog, bike, walk dog)"	468						
dest_purpose		"Went to work-related activity (e.g., meeting, delivery, worksite)"	469						
dest_purpose		"Personal business (e.g., bank, post office)"	470						
dest_purpose		"Other activity only (e.g., attend meeting, pick-up or drop-off item)"	471						
dest_purpose		Attend K-12 school	472						
dest_purpose		Pick someone up	473						
dest_purpose		Grocery shopping	474						
dest_purpose		Drop someone off	475						
dest_purpose		"Other shopping (e.g., mall, pet store)"	476						
dest_purpose		"Social event (e.g., visit friends, family, co-workers)"	477						
dest_purpose		"Went to another residence (e.g., someone else's home, second home)"	478						
dest_purpose		"Medical appointment (e.g., doctor, dentist)"	479						
dest_purpose		Other appointment/errands	480						
dest_purpose		Got gas	481						
dest_purpose		Other social/leisure	482						
dest_purpose		Volunteering	483						
dest_purpose		Attend daycare or preschool	484						
dest_purpose		Religious/civic/volunteer activity	485						
dest_purpose		Other reason	486						
dest_purpose		"Accompany someone only (e.g., go along for the ride)"	487						
dest_purpose		BOTH pick up AND drop off	488						
dest_purpose		"Went to temporary lodging (e.g., hotel, vacation rental)"	489						
dest_purpose		"Attend other type of class (e.g., cooking class)"	490						
dest_purpose		Attend college/university	491						
dest_purpose		"Changed or transferred mode (e.g., change from ferry to bus)"	492						
dest_purpose		"Attend other education-related activity (e.g., field trip)"	493						
dest_purpose		Attend vocational education class	494						
dest_purpose		"Appointment, shopping, or errands (e.g., gas)"	495						
dest_purpose		Vacation/Traveling (rMove only)	496						
dest_purpose		other	497						
dest_purpose		"Dropped off, picked up, or accompanied another person"	498						
dest_purpose		Missing Response	499						
dest_purpose			500						
dest_purpose_cat		Home	501						
dest_purpose_cat		Work	502						
dest_purpose_cat		Work-related	503						
dest_purpose_cat		School	504						
dest_purpose_cat		Escort	505						
dest_purpose_cat		Shopping	506						
dest_purpose_cat		Meal	507						
dest_purpose_cat		Social/Recreation	508						
dest_purpose_cat		Personal Business/Errand/Appointment	509						
dest_purpose_cat		Change mode	510						
dest_purpose_cat		Overnight	511						
dest_purpose_cat		Other	512						
dest_purpose_cat		School-related	513						
dest_purpose_cat		Missing Response	514						
dest_purpose_cat_5		Home	515						
dest_purpose_cat_5		Work/School	516						
dest_purpose_cat_5		Errand/Shopping	517						
dest_purpose_cat_5		Social/Recreation	518						
dest_purpose_cat_5		Other	519						
dest_purpose_cat_5		Missing Response	520						
dest_rgcname		Auburn	521						
dest_rgcname		Bellevue	522						
dest_rgcname		Bothell Canyon Park	523						
dest_rgcname		Bremerton	524						
dest_rgcname		Burien	525						
dest_rgcname		Everett	526						
dest_rgcname		Federal Way	527						
dest_rgcname		Greater Downtown Kirkland	528						
dest_rgcname		Issaquah	529						
dest_rgcname		Kent	530						
dest_rgcname		Kirkland Totem Lake	531						
dest_rgcname		Lakewood	532						
dest_rgcname		Lynnwood	533						
dest_rgcname		Not RGC	534						
dest_rgcname		Puyallup Downtown	535						
dest_rgcname		Puyallup South Hill	536						
dest_rgcname		Redmond Downtown	537						
dest_rgcname		Redmond-Overlake	538						
dest_rgcname		Renton	539						
dest_rgcname		SeaTac	540						
dest_rgcname		Seattle Downtown	541						
dest_rgcname		Seattle First Hill/Capitol Hill	542						
dest_rgcname		Seattle Northgate	543						
dest_rgcname		Seattle South Lake Union	544						
dest_rgcname		Seattle University Community	545						
dest_rgcname		Seattle Uptown	546						
dest_rgcname		Silverdale	547						
dest_rgcname		Tacoma Downtown	548						
dest_rgcname		Tacoma Mall	549						
dest_rgcname		Tukwila	550						
dest_rgcname		University Place	551						
dest_rgcname			552						
disability_person		No	553						
disability_person		Yes	554						
disability_person		Missing Response	555						
disability_person		Prefer not to answer	556						
displaced		No Data	557						
displaced		Displaced	558						
displaced		Not Displaced	559						
driver		Driver	560						
driver		Passenger	561						
driver		Both (switched drivers during trip)	562						
driver		Missing: Skip Logic	563						
driver		Missing: Technical error	564						
education		Less than high school	565						
education		High school graduate	566						
education		Some college	567						
education		Vocational/technical training	568						
education		Associates degree	569						
education		Bachelor degree	570						
education		Graduate/post-graduate degree	571						
education		Missing: Skip Logic	572						
education		Prefer not to answer	573						
employment		"Employed full time (35+ hours/week, paid)"	574						
employment		"Employed part time (fewer than 35 hours/week, paid)"	575						
employment		Self-employed	576						
employment		Unpaid volunteer or intern	577						
employment		Homemaker	578						
employment		"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)"	579						
employment		Retired	580						
employment		Unemployed and looking for work	581						
employment		Not currently employed	582						
employment		"Employed but not currently working (e.g., on leave, furloughed 100%)"	583						
employment		Missing: Skip Logic	584						
ethnicity_1		Not selected	585						
ethnicity_1		Selected	586						
ethnicity_1		Missing Response	587						
ethnicity_2		Not selected	588						
ethnicity_2		Selected	589						
ethnicity_2		Missing Response	590						
ethnicity_3		Not selected	591						
ethnicity_3		Selected	592						
ethnicity_3		Missing Response	593						
ethnicity_4		Not selected	594						
ethnicity_4		Selected	595						
ethnicity_4		Missing Response	596						
ethnicity_997		Not selected	597						
ethnicity_997		Selected	598						
ethnicity_997		Missing Response	599						
ethnicity_999		Not selected	600						
ethnicity_999		Selected	601						
ethnicity_999		Missing Response	602						
ev_typical_charge_1		Not selected	603						
ev_typical_charge_1		Selected	604						
ev_typical_charge_1		Missing Response	605						
ev_typical_charge_2		Not selected	606						
ev_typical_charge_2		Selected	607						
ev_typical_charge_2		Missing Response	608						
ev_typical_charge_3		Not selected	609						
ev_typical_charge_3		Selected	610						
ev_typical_charge_3		Missing Response	611						
ev_typical_charge_4		Not selected	612						
ev_typical_charge_4		Selected	613						
ev_typical_charge_4		Missing Response	614						
ev_typical_charge_5		Not selected	615						
ev_typical_charge_5		Selected	616						
ev_typical_charge_5		Missing Response	617						
ev_typical_charge_6		Not selected	618						
ev_typical_charge_6		Selected	619						
ev_typical_charge_6		Missing Response	620						
ev_typical_charge_997		Not selected	621						
ev_typical_charge_997		Selected	622						
ev_typical_charge_997		Missing Response	623						
fuel		Gas	624						
fuel		Diesel	625						
fuel		Hybrid	626						
fuel		Flex Fuel	627						
fuel		Electric (EV)	628						
fuel		Biofuel	629						
fuel		Natural gas	630						
fuel		"Other (e.g., natural gas, bio-diesel, Flex fuel (FFV))"	631						
fuel		"Other (e.g., natural gas, bio-diesel"	632						
fuel		Hybrid (HEV)	633						
fuel		Plug-in hybrid (PHEV)	634						
gender		Boy/Man (cisgender or transgender)	635						
gender		Girl/Woman (cisgender or transgender)	636						
gender		Another	637						
gender		Non-binary/Something else fits better	638						
gender		Not listed here / prefer not to answer	639						
gender		Non-Binary	640						
gender		Missing Response	641						
gender		Prefer not to answer	642						
gender		Female	643						
gender		Male	644						
hh_day_iscomplete		No	645						
hh_day_iscomplete		Yes	646						
hh_is_complete		Yes	647						
hh_is_complete			648						
hh_race_category		AANHPI non-Hispanic	649						
hh_race_category		Black or African American non-Hispanic	650						
hh_race_category		Hispanic	651						
hh_race_category		Missing	652						
hh_race_category		Some Other Races non-Hispanic	653						
hh_race_category		White non-Hispanic	654						
hh_race_category		Missing/No response	655						
hhgroup		rMove	656						
hhgroup		rSurvey	657						
hhgroup		"Signup survey completed via browserMove, Diary completed via browserMove"	658						
hhgroup		"Signup survey completed via browserMove, Diary completed via call center"	659						
hhgroup		"Signup survey completed via browserMove, Diary completed via rMove"	660						
hhgroup		"Signup survey completed via call center, Diary completed via browserMove"	661						
hhgroup		"Signup survey completed via call center, Diary completed via call center"	662						
hhgroup		"Signup survey completed via call center, Diary completed via rMove"	663						
hhgroup		"Signup survey completed via rMove, Diary completed via browserMove"	664						
hhgroup		"Signup survey completed via rMove, Diary completed via call center"	665						
hhgroup		"Signup survey completed via rMove, Diary completed via rMove"	666						
hhincome_broad		"Under $25,000"	667						
hhincome_broad		"$25,000-$49,999"	668						
hhincome_broad		"$50,000-$74,999"	669						
hhincome_broad		"$75,000-$99,999"	670						
hhincome_broad		"$100,000 or more"	671						
hhincome_broad		Prefer not to answer	672						
hhincome_broad		"$100,000-$199,000"	673						
hhincome_broad		"$100,000-$199,999"	674						
hhincome_broad		"$200,000 or more"	675						
hhincome_broad		Missing: Skip Logic	676						
hhincome_detailed		"Under $10,000"	677						
hhincome_detailed		"$10,000-$24,999"	678						
hhincome_detailed		"$25,000-$34,999"	679						
hhincome_detailed		"$35,000-$49,999"	680						
hhincome_detailed		"$50,000-$74,999"	681						
hhincome_detailed		"$75,000-$99,999"	682						
hhincome_detailed		"$100,000-$149,999"	683						
hhincome_detailed		"$150,000-$199,999"	684						
hhincome_detailed		"$200,000-$249,999"	685						
hhincome_detailed		"$250,000 or more"	686						
hhincome_detailed		Prefer not to answer	687						
hhincome_followup		"Under $25,000"	688						
hhincome_followup		"$25,000-$49,999"	689						
hhincome_followup		"$50,000-$74,999"	690						
hhincome_followup		"$75,000-$99,999"	691						
hhincome_followup		"$100,000 or more"	692						
hhincome_followup		Prefer not to answer	693						
hhincome_followup		"$100,000-$199,000"	694						
hhincome_followup		"$100,000-$199,999"	695						
hhincome_followup		"$200,000 or more"	696						
hhincome_followup		Missing: Skip Logic	697						
hhmember1		Not Selected	698						
hhmember1		Selected	699						
hhmember1		Missing: Skip Logic	700						
hhmember10		Not Selected	701						
hhmember10		Selected	702						
hhmember10		Missing: Skip Logic	703						
hhmember11		Not Selected	704						
hhmember11		Selected	705						
hhmember11		Missing: Skip Logic	706						
hhmember12		Not Selected	707						
hhmember12		Selected	708						
hhmember12		Missing: Skip Logic	709						
hhmember2		Not Selected	710						
hhmember2		Selected	711						
hhmember2		Missing: Skip Logic	712						
hhmember3		Not Selected	713						
hhmember3		Selected	714						
hhmember3		Missing: Skip Logic	715						
hhmember4		Not Selected	716						
hhmember4		Selected	717						
hhmember4		Missing: Skip Logic	718						
hhmember5		Not Selected	719						
hhmember5		Selected	720						
hhmember5		Missing: Skip Logic	721						
hhmember6		Not Selected	722						
hhmember6		Selected	723						
hhmember6		Missing: Skip Logic	724						
hhmember7		Not Selected	725						
hhmember7		Selected	726						
hhmember7		Missing: Skip Logic	727						
hhmember8		Not Selected	728						
hhmember8		Selected	729						
hhmember8		Missing: Skip Logic	730						
hhmember9		Not Selected	731						
hhmember9		Selected	732						
hhmember9		Missing: Skip Logic	733						
hhsize		1 person	734						
hhsize		2 people	735						
hhsize		3 people	736						
hhsize		4 people	737						
hhsize		5 people	738						
hhsize		6 people	739						
hhsize		7 people	740						
hhsize		8 people	741						
hhsize		9 people	742						
hhsize		10 people	743						
hhsize		11 people	744						
hhsize		12 people	745						
hhsize		13 or more people	746						
home_county		King County	747						
home_county		Kitsap County	748						
home_county		Pierce County	749						
home_county		Snohomish County	750						
home_jurisdiction		Algona	751						
home_jurisdiction		Arlington	752						
home_jurisdiction		Auburn	753						
